epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458224336,2025-02-13T15.50.24.336,0.210,-0.061,0.915,0.122
1739458224337,2025-02-13T15.50.24.337,0.211,0.000,1.037,0.122
1739458224340,2025-02-13T15.50.24.340,0.214,-0.183,1.037,0.183
1739458224343,2025-02-13T15.50.24.343,0.217,0.000,1.037,0.122
1739458224344,2025-02-13T15.50.24.344,0.218,-0.122,1.098,0.183
1739458224347,2025-02-13T15.50.24.347,0.221,0.000,1.159,0.122
1739458224350,2025-02-13T15.50.24.350,0.224,-0.061,0.976,0.122
1739458224353,2025-02-13T15.50.24.353,0.227,-0.183,1.098,0.061
1739458224355,2025-02-13T15.50.24.355,0.229,-0.244,1.159,0.122
1739458224358,2025-02-13T15.50.24.358,0.232,-0.183,1.037,0.183
1739458224361,2025-02-13T15.50.24.361,0.235,-0.061,0.854,0.244
1739458224362,2025-02-13T15.50.24.362,0.236,-0.183,0.915,0.122
1739458224365,2025-02-13T15.50.24.365,0.239,-0.122,1.037,0.122
1739458224368,2025-02-13T15.50.24.368,0.242,0.000,1.037,0.061
1739458224371,2025-02-13T15.50.24.371,0.245,-0.122,0.854,0.000
1739458224372,2025-02-13T15.50.24.372,0.246,-0.305,1.159,0.122
1739458224375,2025-02-13T15.50.24.375,0.249,-0.183,0.854,0.183
1739458224378,2025-02-13T15.50.24.378,0.252,-0.061,0.732,0.183
1739458224380,2025-02-13T15.50.24.380,0.254,-0.061,0.915,0.122
1739458224383,2025-02-13T15.50.24.383,0.257,-0.061,0.915,0.061
1739458224385,2025-02-13T15.50.24.385,0.259,-0.061,0.671,0.061
1739458224388,2025-02-13T15.50.24.388,0.262,-0.122,0.915,0.183
1739458224390,2025-02-13T15.50.24.390,0.264,-0.122,0.915,0.061
1739458224393,2025-02-13T15.50.24.393,0.267,0.061,0.854,0.000
1739458224396,2025-02-13T15.50.24.396,0.270,-0.122,0.793,0.183
1739458224397,2025-02-13T15.50.24.397,0.271,-0.244,0.732,0.244
1739458224400,2025-02-13T15.50.24.400,0.274,-0.061,0.671,0.000
1739458224403,2025-02-13T15.50.24.403,0.277,0.183,0.732,0.061
1739458224406,2025-02-13T15.50.24.406,0.280,0.061,0.915,0.122
1739458224407,2025-02-13T15.50.24.407,0.281,-0.183,0.915,0.244
1739458224410,2025-02-13T15.50.24.410,0.284,-0.061,0.976,0.183
1739458224413,2025-02-13T15.50.24.413,0.287,-0.244,0.732,0.000
1739458224415,2025-02-13T15.50.24.415,0.289,-0.183,0.976,0.122
1739458224418,2025-02-13T15.50.24.418,0.292,0.000,0.732,0.183
1739458224421,2025-02-13T15.50.24.421,0.295,0.061,0.671,0.061
1739458224424,2025-02-13T15.50.24.424,0.298,0.000,0.915,0.061
1739458224425,2025-02-13T15.50.24.425,0.299,0.000,0.793,0.244
1739458224428,2025-02-13T15.50.24.428,0.302,0.061,0.732,0.122
1739458224431,2025-02-13T15.50.24.431,0.305,-0.061,0.854,0.061
1739458224432,2025-02-13T15.50.24.432,0.306,0.000,0.732,0.000
1739458224435,2025-02-13T15.50.24.435,0.309,0.122,0.732,0.122
1739458224438,2025-02-13T15.50.24.438,0.312,0.061,0.854,0.122
1739458224441,2025-02-13T15.50.24.441,0.315,0.122,0.915,0.183
1739458224443,2025-02-13T15.50.24.443,0.317,-0.061,0.854,0.122
1739458224445,2025-02-13T15.50.24.445,0.319,-0.122,0.732,0.244
1739458224448,2025-02-13T15.50.24.448,0.322,0.122,0.793,0.122
1739458224450,2025-02-13T15.50.24.450,0.324,0.244,0.854,0.061
1739458224453,2025-02-13T15.50.24.453,0.327,0.122,0.854,0.061
1739458224456,2025-02-13T15.50.24.456,0.330,0.122,0.915,0.122
1739458224459,2025-02-13T15.50.24.459,0.333,0.183,0.793,-0.061
1739458224460,2025-02-13T15.50.24.460,0.334,0.000,0.671,0.000
1739458224463,2025-02-13T15.50.24.463,0.337,-0.061,0.793,0.061
1739458224466,2025-02-13T15.50.24.466,0.340,0.000,0.793,0.061
1739458224467,2025-02-13T15.50.24.467,0.341,-0.061,0.854,0.061
1739458224470,2025-02-13T15.50.24.470,0.344,0.061,0.732,0.061
1739458224473,2025-02-13T15.50.24.473,0.347,0.000,0.854,0.061
1739458224476,2025-02-13T15.50.24.476,0.350,-0.061,0.854,0.061
1739458224478,2025-02-13T15.50.24.478,0.352,-0.183,0.915,0.122
1739458224481,2025-02-13T15.50.24.481,0.355,-0.061,0.793,0.244
1739458224484,2025-02-13T15.50.24.484,0.358,0.122,0.854,0.183
1739458224485,2025-02-13T15.50.24.485,0.359,-0.122,0.854,0.183
1739458224488,2025-02-13T15.50.24.488,0.362,0.244,0.793,0.061
1739458224491,2025-02-13T15.50.24.491,0.365,0.305,0.793,0.061
1739458224494,2025-02-13T15.50.24.494,0.368,0.000,1.037,0.122
1739458224495,2025-02-13T15.50.24.495,0.369,0.061,0.915,0.122
1739458224498,2025-02-13T15.50.24.498,0.372,0.122,0.732,0.000
1739458224501,2025-02-13T15.50.24.501,0.375,0.000,0.915,0.061
1739458224503,2025-02-13T15.50.24.503,0.377,0.061,1.159,-0.061
1739458224506,2025-02-13T15.50.24.506,0.380,0.122,0.915,0.061
1739458224508,2025-02-13T15.50.24.508,0.382,-0.122,0.732,0.061
1739458224511,2025-02-13T15.50.24.511,0.385,0.000,0.854,0.061
1739458224513,2025-02-13T15.50.24.513,0.387,0.000,0.854,-0.061
1739458224516,2025-02-13T15.50.24.516,0.390,0.122,0.854,-0.061
