X,Y,Z
0.0,0.0,0.0
-0.005423175127987535,-0.0007458352946446187,0.0
-0.010736721408590878,-0.002060787973132088,0.0
-0.015929724421081454,-0.003814712036948906,0.0
-0.021120309568122834,-0.005575781750226295,0.0
-0.026310644006257152,-0.007337590448059846,0.0
-0.03149726536817387,-0.0091102445095909,0.0
-0.036679861470201955,-0.010894665057901255,0.0
-0.041867997908088254,-0.012662935899520692,0.0
-0.047001626949445714,-0.014582590195155532,0.0
-0.05212615657943438,-0.016527516296274355,0.0
-0.05725068620942305,-0.018472442397393176,0.0
-0.06236703334994414,-0.02043869204399569,0.0
-0.06747717307896363,-0.022421118188229477,0.0
-0.07258731280798313,-0.024403544332463268,0.0
-0.07769745253700261,-0.026385970476697055,0.0
-0.08280898294476918,-0.028364791859300322,0.0
-0.08792650277426849,-0.030328088133968627,0.0
-0.09304402260376779,-0.03229138440863693,0.0
-0.09817217743826959,-0.034226718027700755,0.0
-0.10330096494200164,-0.0361603881673593,0.0
-0.10844215473249819,-0.03806056592345262,0.0
-0.11359339329260834,-0.039933606970594726,0.0
-0.11874463185271851,-0.041806648017736835,0.0
-0.12389587041282868,-0.04367968906487894,0.0
-0.12904710897293883,-0.04555273011202105,0.0
-0.1342101611902501,-0.04739271045488341,0.0
-0.13938189324182002,-0.04920840014594003,0.0
-0.14455362529338994,-0.05102408983699664,0.0
-0.1497253573449599,-0.05283977952805326,0.0
-0.15489708939652982,-0.05465546921910987,0.0
-0.16006882144809975,-0.056471158910166484,0.0
-0.16524791027843863,-0.05826569126888745,0.0
-0.17043042957611285,-0.060050357959527255,0.0
-0.1756129488737871,-0.06183502465016706,0.0
-0.18080524067156684,-0.0635909922332412,0.0
-0.18599992685857075,-0.06533992816288405,0.0
-0.19119461304557467,-0.06708886409252689,0.0
-0.1964155761913617,-0.06875740466856514,0.0
-0.20164042416894795,-0.07041405945413695,0.0
-0.2068652721465342,-0.07207071423970875,0.0
-0.21209012012412043,-0.07372736902528056,0.0
-0.21731496810170667,-0.07538402381085235,0.0
-0.22253981607929293,-0.07704067859642416,0.0
-0.22776466405687917,-0.07869733338199597,0.0
-0.2329895120344654,-0.08035398816756777,0.0
-0.23821460128712663,-0.08200987500215239,0.0
-0.2434480910559373,-0.08363902395396722,0.0
-0.24868158082474792,-0.08526817290578205,0.0
-0.2539156822814723,-0.08689534195251308,0.0
-0.25915609429473035,-0.08850208505542219,0.0
-0.26439650630798833,-0.0901088281583313,0.0
-0.2696380929008091,-0.09171171060535033,0.0
-0.27488540069861933,-0.0932957883630647,0.0
-0.2801327084964295,-0.09487986612077906,0.0
-0.2853800162942397,-0.09646394387849343,0.0
-0.2906273240920499,-0.0980480216362078,0.0
-0.29587463188986013,-0.09963209939392216,0.0
-0.30112226499346695,-0.10121509790093436,0.0
-0.30637092326178067,-0.10279469527048993,0.0
-0.3116195815300944,-0.10437429264004548,0.0
-0.31686762931080825,-0.1059559155302694,0.0
-0.32211499615152545,-0.10753979769330634,0.0
-0.32736220353355683,-0.10912420512965265,0.0
-0.33260452509085964,-0.11072470697510096,0.0
-0.3378468466481624,-0.11232520882054928,0.0
-0.3430857335961879,-0.11393685000982909,0.0
-0.34831911809612376,-0.11556633708964176,0.0
-0.3535525025960596,-0.11719582416945441,0.0
-0.3587645546043055,-0.11889195537294588,0.0
-0.3639714035679017,-0.12060434123417636,0.0
-0.36917825253149794,-0.12231672709540685,0.0
-0.3743851014950942,-0.12402911295663734,0.0
-0.3795919504586904,-0.12574149881786784,0.0
-0.3847916233414967,-0.12747549465098118,0.0
-0.38998850281130476,-0.12921790253770934,0.0
-0.3951903231979771,-0.13094538729354813,0.0
-0.40040019242490543,-0.1326485620073546,0.0
-0.40561006165183383,-0.13435173672116105,0.0
-0.41081993087876223,-0.1360549114349675,0.0
-0.4160344612078219,-0.13774354824581012,0.0
-0.42126340293082903,-0.13938723614953155,0.0
-0.4265028118619528,-0.14099498567987634,0.0
-0.43179658375840024,-0.142416084049388,0.0
-0.43709035565484766,-0.14383718241889965,0.0
-0.4423841275512951,-0.1452582807884113,0.0
-0.4476854687213047,-0.14664977861074524,0.0
-0.45301159852781814,-0.14794433751308012,0.0
-0.4583534831853807,-0.1491698779084706,0.0
-0.4637137907754678,-0.15031471152393616,0.0
-0.46911947950086375,-0.15121162974414168,0.0
-0.47453774817747296,-0.15203982417512996,0.0
-0.47995601685408223,-0.1528680186061182,0.0
-0.4854032054685312,-0.15347469671927622,0.0
-0.4908524914504168,-0.15406530975254765,0.0
-0.4963029954159197,-0.1546438806807515,0.0
-0.501760181195298,-0.15515638905804546,0.0
-0.5072202874304947,-0.155636685922264,0.0
-0.5126579439844338,-0.15631679703024373,0.0
-0.5180885716982705,-0.1570596456697068,0.0
-0.5235191994121074,-0.15780249430916984,0.0
-0.5289292483128228,-0.15868101479970506,0.0
-0.5342682672420199,-0.15989190528521394,0.0
-0.5394966242689968,-0.16151766491759714,0.0
-0.5443486033237069,-0.16405344217722378,0.0
-0.5474044883852246,-0.1682309938083515,0.0
-0.5466518103556222,-0.1734253882265507,0.0
-0.5459545213210953,-0.17819575822186476,0.0
-0.5476345649548569,-0.18339309326382724,0.0
-0.5490239128151874,-0.18869514865605186,0.0
-0.550464615035478,-0.19398053012187622,0.0
-0.5535961930151737,-0.19815446317605998,0.0
-0.5537274931029258,-0.20206325113220863,0.0
-0.5514310757187055,-0.207009418700274,0.0
-0.54762710304862,-0.21085086554248555,0.0
-0.5516362034554796,-0.21139611711319403,0.0
-0.5570755337499226,-0.21205691621110054,0.0
-0.5625420089087678,-0.2123662649724416,0.0
-0.568018592639939,-0.2121413825522407,0.0
-0.5734889382992803,-0.21180571057845093,0.0
-0.5789645816465524,-0.21158632444801173,0.0
-0.5844438501930163,-0.21144086770812673,0.0
-0.5899234449605515,-0.21132803002104403,0.0
-0.5954045266739209,-0.21136387299540652,0.0
-0.6008800320662926,-0.21160484567460525,0.0
-0.6063545860063446,-0.211563399040124,0.0
-0.6118288464800913,-0.21128769315875828,0.0
-0.6173031069538379,-0.21101198727739254,0.0
-0.6227773674275847,-0.21073628139602682,0.0
-0.6282516279013314,-0.21046057551466107,0.0
-0.633725888375078,-0.21018486963329536,0.0
-0.6392001488488247,-0.2099091637519296,0.0
-0.6446744093225715,-0.2096334578705639,0.0
-0.6501496108082179,-0.20937857267304272,0.0
-0.655626423361745,-0.20915933371443202,0.0
-0.6611032359152721,-0.20894009475582134,0.0
-0.6665808705186743,-0.2087475580850177,0.0
-0.6720607975586183,-0.2086294856312576,0.0
-0.6775407245985621,-0.20851141317749752,0.0
-0.6830206516385059,-0.20839334072373744,0.0
-0.6884921256341108,-0.20869182643855883,0.0
-0.6939627513624563,-0.20903211397551663,0.0
-0.6994333770908018,-0.2093724015124744,0.0
-0.7049040028191473,-0.2097126890494322,0.0
-0.7103746285474929,-0.21005297658638997,0.0
-0.7158452542758386,-0.21039326412334775,0.0
-0.721315880004184,-0.21073355166030552,0.0
-0.7267865057325296,-0.2110738391972633,0.0
-0.7322571314608751,-0.2114141267342211,0.0
-0.7377277571892207,-0.2117544142711789,0.0
-0.7431983829175662,-0.21209470180813667,0.0
-0.7486690086459117,-0.21243498934509444,0.0
-0.7541396343742572,-0.21277527688205222,0.0
-0.7596102601026029,-0.21311556441901003,0.0
-0.7650808858309484,-0.2134558519559678,0.0
-0.7705500571963605,-0.2138161428895014,0.0
-0.7760123717006893,-0.21427074350899666,0.0
-0.781474686205018,-0.2147253441284919,0.0
-0.7869370007093467,-0.21517994474798716,0.0
-0.792398434436852,-0.21564389476673826,0.0
-0.7978495461034758,-0.21621741291417831,0.0
-0.8033006577700997,-0.21679093106161837,0.0
-0.8087517694367234,-0.2173644492090584,0.0
-0.8142028811033472,-0.21793796735649842,0.0
-0.8196335212395521,-0.21867654419283392,0.0
-0.8250595781050674,-0.2194520752106792,0.0
-0.8304856349705826,-0.22022760622852447,0.0
-0.8359116918360977,-0.22100313724636972,0.0
-0.8413377487016129,-0.221778668264215,0.0
-0.8467638055671283,-0.22255419928206027,0.0
-0.8521898624326434,-0.22332973029990552,0.0
-0.8576159192981586,-0.2241052613177508,0.0
-0.8630419761636738,-0.22488079233559607,0.0
-0.8684644936931389,-0.22567933246576577,0.0
-0.8738727821311586,-0.2265703754718144,0.0
-0.8792810705691781,-0.22746141847786305,0.0
-0.8846893590071978,-0.2283524614839117,0.0
-0.8900976474452175,-0.22924350448996036,0.0
-0.8955059358832371,-0.230134547496009,0.0
-0.9009142243212567,-0.23102559050205765,0.0
-0.9063225127592763,-0.2319166335081063,0.0
-0.911730801197296,-0.23280767651415493,0.0
-0.9171388278328972,-0.23370026484434056,0.0
-0.9225388136945624,-0.23464031492878337,0.0
-0.9279387995562277,-0.2355803650132262,0.0
-0.933338785417893,-0.23652041509766905,0.0
-0.9387387712795582,-0.23746046518211186,0.0
-0.9441380423664142,-0.23840453114839302,0.0
-0.9495307556599987,-0.23938544133828948,0.0
-0.9549234689535832,-0.24036635152818597,0.0
-0.9603161822471674,-0.2413472617180824,0.0
-0.9657088955407519,-0.2423281719079789,0.0
-0.9711005119412831,-0.24331489022359637,0.0
-0.9764795378899288,-0.24436827586581986,0.0
-0.9818585638385744,-0.24542166150804332,0.0
-0.9872375897872199,-0.24647504715026675,0.0
