time,seconds_elapsed,z,y,x
1740773075290052600,0.019052490234375,-36.9969482421875,-21.185083389282227,-7.189998626708984
1740773075300120800,0.029120849609375,-36.74371337890625,-20.554956436157227,-6.981466293334961
1740773075310189800,0.03918994140625,-36.929931640625,-20.75235939025879,-7.24050235748291
1740773075320257500,0.049257568359375,-37.405426025390625,-21.402427673339844,-7.698480606079102
1740773075330326800,0.059326904296875,-37.520233154296875,-21.511260986328125,-7.869379043579102
1740773075340395800,0.069395751953125,-37.649871826171875,-21.45473289489746,-7.815898895263672
1740773075350463700,0.079463623046875,-37.7362060546875,-21.382644653320312,-7.92552375793457
1740773075360532700,0.08953271484375,-37.3050537109375,-21.59746551513672,-8.062216758728027
1740773075370600700,0.0996005859375,-37.56451416015625,-21.381994247436523,-8.165164947509766
1740773075380670000,0.109669921875,-37.287933349609375,-21.140539169311523,-8.040447235107422
1740773075390738700,0.11973876953125,-37.322509765625,-21.380746841430664,-8.205853462219238
1740773075400806700,0.129806640625,-37.529144287109375,-21.337387084960938,-8.371859550476074
1740773075410876000,0.1398759765625,-37.5682373046875,-21.284231185913086,-8.331330299377441
1740773075420943600,0.149943603515625,-37.589141845703125,-21.530410766601562,-8.134605407714844
1740773075431012900,0.160012939453125,-37.138214111328125,-21.292207717895508,-8.174731254577637
1740773075441081900,0.170081787109375,-37.26129150390625,-21.221988677978516,-8.38189697265625
1740773075451149800,0.18014990234375,-37.424713134765625,-21.374521255493164,-8.44551944732666
1740773075461218800,0.19021875,-37.825927734375,-21.639320373535156,-8.588004112243652
1740773075471286800,0.200286865234375,-37.634033203125,-21.46481704711914,-8.554709434509277
1740773075481355800,0.210355712890625,-37.789276123046875,-21.548830032348633,-8.463658332824707
1740773075491424800,0.2204248046875,-37.67156982421875,-21.086498260498047,-8.374038696289062
1740773075501492700,0.23049267578125,-37.59527587890625,-21.136796951293945,-8.555717468261719
1740773075511562000,0.24056201171875,-37.78363037109375,-21.157573699951172,-8.623100280761719
1740773075521629700,0.250629638671875,-37.703369140625,-21.026044845581055,-8.571040153503418
1740773075531698700,0.26069873046875,-38.00042724609375,-20.940656661987305,-8.717791557312012
1740773075541768000,0.270767822265625,-38.06146240234375,-21.219457626342773,-8.840401649475098
1740773075551835600,0.280835693359375,-38.021514892578125,-21.256006240844727,-8.76966381072998
1740773075561904600,0.290904541015625,-38.132598876953125,-21.228059768676758,-8.754530906677246
1740773075571974000,0.300973876953125,-37.7181396484375,-21.009798049926758,-8.705632209777832
1740773075582041900,0.311041748046875,-38.068878173828125,-20.987152099609375,-8.832269668579102
1740773075592110800,0.32111083984375,-38.131805419921875,-20.866174697875977,-8.464496612548828
1740773075602178800,0.3311787109375,-38.052215576171875,-20.591297149658203,-8.683963775634766
1740773075612247800,0.341247802734375,-37.601654052734375,-20.67277717590332,-8.636251449584961
1740773075622316800,0.35131689453125,-37.892974853515625,-20.754236221313477,-8.904064178466797
1740773075632384800,0.361384765625,-37.9947509765625,-20.557649612426758,-8.59911060333252
1740773075642453800,0.371453857421875,-38.267364501953125,-20.684322357177734,-8.614895820617676
1740773075652521700,0.381521728515625,-38.3392333984375,-20.52092933654785,-8.492916107177734
1740773075662590700,0.3915908203125,-38.121551513671875,-20.382732391357422,-8.47271728515625
1740773075672660000,0.401659912109375,-38.32769775390625,-20.498132705688477,-8.603724479675293
1740773075682728000,0.41172802734375,-38.49871826171875,-20.47085189819336,-8.506645202636719
1740773075692796700,0.421796630859375,-38.320068359375,-20.24696159362793,-8.361089706420898
1740773075702865000,0.431864990234375,-38.44024658203125,-19.997133255004883,-8.445164680480957
1740773075712934000,0.441933837890625,-38.817138671875,-19.938081741333008,-8.694562911987305
1740773075723002600,0.452002685546875,-38.933685302734375,-19.752317428588867,-8.53109073638916
1740773075733070800,0.46207080078125,-38.981048583984375,-19.671981811523438,-8.20512580871582
1740773075743139800,0.472139892578125,-38.895416259765625,-19.385103225708008,-8.176823616027832
1740773075753207800,0.482207763671875,-38.869842529296875,-19.584924697875977,-8.156869888305664
1740773075763276800,0.49227685546875,-38.59039306640625,-19.473186492919922,-7.8837385177612305
1740773075773345800,0.502345703125,-38.481903076171875,-19.3523006439209,-7.8229875564575195
1740773075783413800,0.512413818359375,-38.732177734375,-19.762056350708008,-8.098169326782227
1740773075793482800,0.522482666015625,-38.692779541015625,-19.8945369720459,-8.049601554870605
1740773075803550700,0.53255078125,-39.1231689453125,-19.62729263305664,-8.208382606506348
1740773075813620000,0.542619873046875,-39.013275146484375,-19.784748077392578,-7.718536376953125
1740773075823688700,0.552688720703125,-39.247406005859375,-19.809038162231445,-7.903424263000488
1740773075833756700,0.562756591796875,-39.029205322265625,-19.773183822631836,-8.004599571228027
1740773075843826000,0.572825927734375,-38.98291015625,-19.76937484741211,-8.0343017578125
1740773075853894700,0.582894775390625,-38.84173583984375,-19.786094665527344,-7.909787178039551
1740773075863962600,0.592962646484375,-38.580841064453125,-19.751283645629883,-8.074002265930176
1740773075874031900,0.603031982421875,-38.858642578125,-19.831619262695312,-8.056782722473145
1740773075884099800,0.613099853515625,-38.70220947265625,-19.905439376831055,-7.954227447509766
1740773075894168800,0.6231689453125,-39.16436767578125,-19.697921752929688,-7.940376281738281
1740773075904237800,0.63323779296875,-39.143707275390625,-19.797372817993164,-7.974553108215332
1740773075914305800,0.643305908203125,-38.99603271484375,-19.97323989868164,-7.81834602355957
1740773075924372200,0.653372314453125,-39.272430419921875,-19.969593048095703,-8.050130844116211
1740773075934440200,0.663440185546875,-39.281097412109375,-20.203264236450195,-7.952498435974121
1740773075944509000,0.673509033203125,-39.281097412109375,-20.203264236450195,-7.952498435974121
1740773075954578200,0.683578125,-38.90704345703125,-20.051849365234375,-7.95278263092041
1740773075964646100,0.693646240234375,-38.7957763671875,-20.29184341430664,-8.285663604736328
1740773075974715100,0.703715087890625,-38.541107177734375,-20.338172912597656,-8.330300331115723
1740773075984783000,0.713783203125,-38.65301513671875,-20.43144989013672,-7.989773750305176
1740773075994852000,0.72385205078125,-38.7818603515625,-20.378103256225586,-7.78848934173584
1740773076004921000,0.733921142578125,-38.9510498046875,-20.391782760620117,-7.969486236572266
1740773076014989000,0.743989013671875,-38.625030517578125,-20.46963119506836,-7.963702201843262
1740773076025058000,0.75405810546875,-38.9306640625,-20.540342330932617,-7.87139892578125
1740773076035127000,0.764126953125,-39.02691650390625,-20.306015014648438,-8.065402030944824
1740773076045195000,0.774195068359375,-38.84332275390625,-20.310659408569336,-7.816388130187988
1740773076055264300,0.78426416015625,-38.51324462890625,-20.451969146728516,-7.752634048461914
1740773076065332200,0.794332275390625,-38.636077880859375,-20.331798553466797,-7.921883583068848
1740773076075401000,0.80440087890625,-38.671722412109375,-20.372163772583008,-7.996601104736328
1740773076085470200,0.81447021484375,-38.536895751953125,-20.447378158569336,-7.904056549072266
1740773076095538200,0.8245380859375,-38.481231689453125,-20.497440338134766,-7.897825241088867
1740773076105607000,0.83460693359375,-38.722625732421875,-20.70977020263672,-8.060282707214355
1740773076115675100,0.844675048828125,-38.335052490234375,-20.613283157348633,-7.922060966491699
1740773076125744000,0.854744140625,-38.521148681640625,-20.776731491088867,-7.924071311950684
1740773076135813000,0.864813232421875,-38.362335205078125,-20.788440704345703,-8.125465393066406
1740773076145881000,0.874881103515625,-38.29937744140625,-20.746339797973633,-7.779067039489746
1740773076155950000,0.8849501953125,-38.669525146484375,-20.824295043945312,-7.939547538757324
1740773076166018300,0.895018310546875,-38.47320556640625,-20.850421905517578,-7.955104827880859
1740773076176087000,0.905087158203125,-38.5447998046875,-20.98892593383789,-7.943474769592285
