Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.0,0.16,0.906,-0.21,-0.976,1.098,-0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.15833333333333333,0.906,-0.21133333333333332,-0.915,1.098,-0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.15666666666666668,0.906,-0.21266666666666667,-0.915,1.037,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031,0.155,0.906,-0.214,-0.793,1.098,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041,0.15216666666666667,0.907,-0.215,-0.793,1.341,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051,0.14933333333333335,0.908,-0.216,-0.61,1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.14650000000000002,0.909,-0.217,-0.488,1.22,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.14366666666666666,0.91,-0.218,-0.427,0.976,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.14083333333333334,0.911,-0.219,-0.427,0.976,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.091,0.138,0.912,-0.22,-0.366,0.976,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,0.135,0.911,-0.21933333333333332,-0.488,0.915,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.111,0.132,0.91,-0.21866666666666668,-0.427,0.915,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.121,0.129,0.909,-0.218,-0.183,1.037,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.126,0.908,-0.21733333333333332,-0.061,1.037,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.123,0.907,-0.21666666666666667,-0.061,0.793,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,0.12,0.906,-0.216,-0.061,0.671,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.161,0.126,0.90625,-0.21675,-0.305,0.427,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.171,0.132,0.9065000000000001,-0.2175,-0.244,0.488,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.181,0.13799999999999998,0.9067500000000001,-0.21825,-0.305,0.427,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.192,0.144,0.907,-0.219,-0.305,0.305,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.14391463414634145,0.9070365853658537,-0.2190609756097561,-0.244,0.244,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.211,0.14382926829268292,0.9070731707317073,-0.2191219512195122,-0.305,0.244,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.221,0.14374390243902438,0.907109756097561,-0.2191829268292683,-0.427,0.305,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.14365853658536584,0.9071463414634147,-0.2192439024390244,-0.427,0.183,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.242,0.1435731707317073,0.9071829268292684,-0.2193048780487805,-0.61,0.244,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.252,0.14348780487804877,0.907219512195122,-0.21936585365853659,-0.549,0.427,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.262,0.14340243902439023,0.9072560975609756,-0.21942682926829268,-0.305,0.488,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.1433170731707317,0.9072926829268293,-0.21948780487804878,-0.549,0.427,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.281,0.14323170731707316,0.907329268292683,-0.21954878048780488,-0.915,-0.061,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.291,0.14314634146341462,0.9073658536585366,-0.21960975609756098,-1.098,-0.366,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302,0.14306097560975609,0.9074024390243902,-0.21967073170731707,-1.28,-0.244,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.312,0.14297560975609755,0.9074390243902439,-0.21973170731707317,-1.28,-0.244,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.322,0.142890243902439,0.9074756097560976,-0.21979268292682927,-1.341,0.0,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
