time,seconds_elapsed,relativeAltitude,pressure
1739817637743992600,-0.53200732421875,0,1014.5330047607422
1739817638750895600,0.4748955078125,-0.031707763671875,1014.5366668701172
1739817639757530400,1.4815302734375,-0.05813121795654297,1014.5403289794922
1739817640764462600,2.488462646484375,-0.05813121795654297,1014.5403289794922
1739817641771367400,3.495367431640625,-0.0158538818359375,1014.534912109375
1739817642775870500,4.499870361328125,-0.0158538818359375,1014.534912109375
1739817643315844600,5.0398447265625,-0.0158538818359375,1014.534912109375
1739817644321395700,6.045395751953125,-0.02642345428466797,1014.5359039306641
1739817645325776600,7.049776611328125,-0.06341552734375,1014.5407867431641
1739817646332481500,8.0564814453125,-0.06870079040527344,1014.5410919189453
1739817647339396400,9.063396240234376,-0.0792694091796875,1014.5428466796875
1739817648346364400,10.070364501953126,-0.0951242446899414,1014.5443725585938
1739817649353527600,11.077527587890625,-0.1268320083618164,1014.5484924316406
1739817650355380500,12.07938037109375,-0.16382408142089844,1014.5526123046875
1739817651359925500,13.083925537109375,-0.20081615447998047,1014.5569610595703
1739817652366494500,14.090494384765625,-0.21138572692871094,1014.5582580566406
1739817653370138600,15.094138671875,-0.23252487182617188,1014.5609283447266
1739817654372089600,16.096089599609375,-0.2378091812133789,1014.5615386962891
1739817655374685400,17.098685546875,-0.24309349060058594,1014.5622253417969
1739817656376765400,18.100765380859375,-0.2536630630493164,1014.5636749267578
1739817657381267500,19.105267333984376,-0.2642326354980469,1014.5645141601562
1739817658387846400,20.111846435546877,-0.2642326354980469,1014.5645141601562
1739817659392243700,21.11624365234375,-0.25894737243652344,1014.5641326904297
1739817660394806500,22.118806640625,-0.24837875366210938,1014.5631408691406
1739817661398811600,23.122811767578124,-0.21667098999023438,1014.5590209960938
1739817662403380700,24.127380615234376,-0.1743936538696289,1014.5538330078125
1739817663409943600,25.133943603515625,-0.11626243591308594,1014.5469665527344
1739817664413215700,26.1372158203125,-0.10569286346435547,1014.5455169677734
1739817665416165600,27.14016552734375,-0.0951242446899414,1014.544677734375
1739817666422492400,28.146492431640624,-0.10040855407714844,1014.5452880859375
1739817667427521500,29.151521484375,-0.10040855407714844,1014.5452880859375
1739817668430379500,30.154379638671877,-0.11626243591308594,1014.5468902587891
1739817669434031400,31.15803125,-0.1268320083618164,1014.5480346679688
1739817670440967700,32.1649677734375,-0.1268320083618164,1014.5482635498047
1739817671447904500,33.17190454101563,-0.1426858901977539,1014.5504760742188
1739817672454402600,34.17840258789062,-0.14797019958496094,1014.5511627197266
1739817673458889500,35.18288940429687,-0.15325450897216797,1014.5516967773438
1739817674465849600,36.189849609375,-0.16382408142089844,1014.5524597167969
1739817675472761600,37.19676171875,-0.16382408142089844,1014.5526885986328
1739817676479610400,38.2036103515625,-0.16382408142089844,1014.5528411865234
1739817677486333700,39.210333740234375,-0.1743936538696289,1014.5540618896484
1739817678488300500,40.21230053710938,-0.19553184509277344,1014.5565795898438
1739817679492825600,41.21682568359375,-0.19553184509277344,1014.5565795898438
1739817680499733500,42.2237333984375,-0.1902475357055664,1014.5561218261719
1739817681502789400,43.226789306640626,-0.18496227264404297,1014.5555877685547
1739817682504738600,44.228738525390625,-0.15325450897216797,1014.5515441894531
1739817683507827500,45.231827392578126,-0.1426858901977539,1014.5503997802734
1739817684510028500,46.234028564453126,-0.1109781265258789,1014.5465087890625
1739817685514173400,47.23817333984375,-0.10569286346435547,1014.5455932617188
1739817686521102300,48.24510229492188,-0.1109781265258789,1014.5465087890625
1739817687528028400,49.2520283203125,-0.11626243591308594,1014.547119140625
1739817688534980600,50.258980712890626,-0.11626243591308594,1014.547119140625
1739817689539368700,51.26336865234375,-0.1109781265258789,1014.5463562011719
1739817690544504600,52.26850463867188,-0.10569286346435547,1014.5457458496094
1739817691546933800,53.270933837890624,-0.08455467224121094,1014.5432281494141
1739817692551866600,54.27586669921875,-0.0792694091796875,1014.5426940917969
1739817693554045400,55.27804541015625,-0.08455467224121094,1014.5432281494141
1739817694556419600,56.28041967773437,-0.0792694091796875,1014.5427703857422
1739817695560807400,57.284807373046874,-0.08983898162841797,1014.5436096191406
1739817696567770400,58.29177026367187,-0.1109781265258789,1014.5465850830078
