time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1739817638304434000,0.028433837890625,2.061993793460592,0.013392046370101822,-0.8574050373293268,0.07097637714992457,-0.5123491404308631,-0.04664409362510823,0.06631154184145617
1739817638314503000,0.0385029296875,2.062086630412124,0.011460585648173396,-0.8574739182510206,0.06532583753099296,-0.5124816286805302,-0.044381798874708,0.0644103179223922
1739817638324573000,0.048572998046875,2.0623906630888795,0.009555619611655203,-0.8575833733611301,0.0603144587425284,-0.5124804127113469,-0.042701119021069336,0.0634880455821282
1739817638334642000,0.058641845703125,2.062919764860152,0.00788606854326147,-0.8577372851972894,0.05630900275345332,-0.5123409401417958,-0.0416109911371794,0.06334423848469246
1739817638344707800,0.068707763671875,2.0636846391558548,0.006487383587284284,-0.8579423194537183,0.05319261942878913,-0.5120709930159636,-0.04093991260610812,0.0636471285078753
1739817638354777600,0.078777587890625,2.064656805908109,0.005340304038285154,-0.8581953675309787,0.05073295694033099,-0.5116956224725443,-0.0404938596173577,0.06408191471444306
1739817638364846600,0.0888466796875,2.065751436482551,0.004451849348637706,-0.8584771225595994,0.048838739348402715,-0.5112568450177064,-0.04016993423690646,0.06446249765759991
1739817638374916600,0.09891650390625,2.0668938671174435,0.0038737607682523276,-0.85876990615043,0.04757486762306869,-0.5107874649973263,-0.03994235675801062,0.0646903614362251
1739817638384985600,0.108985595703125,2.0681031966446435,0.0035872454426054204,-0.859079211485934,0.046899666196218,-0.5102800116392001,-0.03980237271228379,0.06477106204171466
1739817638395055900,0.119055908203125,2.069336994413946,0.0035541461478781856,-0.8593950948156938,0.04670131691519814,-0.5097560054528293,-0.03970325382847601,0.06466312193074314
1739817638405124600,0.12912451171875,2.070535826793391,0.0036793241546691584,-0.8597027517658726,0.04675766471353282,-0.509245084383428,-0.0395856593473353,0.06436086976447651
1739817638415193600,0.139193603515625,2.0716994165541927,0.003937998324023759,-0.8600019236660956,0.04703535040913701,-0.5087476896168738,-0.03945832406427489,0.06390506174229083
1739817638425263600,0.149263671875,2.072844275192694,0.00436039225656982,-0.8602954329991346,0.047675844717834745,-0.5082516732272202,-0.039409150307584725,0.0634171700564191
1739817638435332900,0.159332763671875,2.0739326228168027,0.004806994518108113,-0.8605725135677452,0.04846923447661165,-0.5077738122150665,-0.03946672378379358,0.06308806469560951
1739817638445402600,0.169402587890625,2.074966513389673,0.005114847830784204,-0.8608331194385127,0.04914409545694153,-0.5073152930121878,-0.03964052691110765,0.06309994063383532
1739817638455471900,0.179471923828125,2.0758663361357836,0.005194793313848618,-0.8610571147352433,0.049540535781600205,-0.5069121040051358,-0.03992245929092411,0.06352714878643073
1739817638465541600,0.189541748046875,2.0766325704660096,0.004989087998689128,-0.8612447326152252,0.04954024294023671,-0.5065658087923817,-0.040294554272387484,0.06439684166642932
1739817638475610600,0.199610595703125,2.077357754334151,0.0045704834374289275,-0.8614193024070678,0.04927447804715626,-0.5062352670432722,-0.04076585161298249,0.06565265640676056
1739817638485679600,0.2096796875,2.078100964206488,0.003994306154582052,-0.861595810700347,0.048814141352095226,-0.505895172185039,-0.04131455017456639,0.06720205693513047
1739817638495749600,0.21974951171875,2.07889811112876,0.0034467940437502217,-0.8617837963899871,0.04848668415221932,-0.5055266404840294,-0.04194834003991182,0.06887033754500602
1739817638505818600,0.229818603515625,2.0798411005689057,0.002993847750513567,-0.8620066064130357,0.04841619874153692,-0.5050880583952986,-0.04268090433567243,0.07061680607947186
1739817638515888600,0.239888671875,2.081034866246923,0.0026062060705221357,-0.8622908926631736,0.04852564052891442,-0.5045357133999055,-0.04349026354116639,0.07243599660800197
1739817638525957600,0.24995751953125,2.082486820154282,0.002256692502028751,-0.8626385715842124,0.04873866502658128,-0.5038679810282377,-0.04434843062405089,0.07430754752773358
1739817638536027600,0.260027587890625,2.084122660312917,0.001995244741479692,-0.8630317842539329,0.04910632494514318,-0.5031176893505966,-0.045218590599045254,0.07611595276554611
1739817638546096600,0.2700966796875,2.086167869874852,0.0018495105060330349,-0.8635290043301913,0.04957879785899925,-0.5021921004142991,-0.04601306951463445,0.07768774341116856
1739817638556165600,0.28016552734375,2.0885728853462857,0.0018967382388222808,-0.8641193843748672,0.050232448834275745,-0.5011144822915511,-0.04667329396950254,0.07884328983912138
1739817638566235600,0.290235595703125,2.091309057103931,0.0021973220965845214,-0.864798836031803,0.051021386789316205,-0.4999046278989564,-0.04704763750003494,0.07925954099181488
1739817638576304600,0.3003046875,2.09431812389157,0.002786342513913899,-0.8655552305574752,0.05187581822760437,-0.49859532608807494,-0.047000770641161316,0.0786661216238461
1739817638586374700,0.310374755859375,2.0975258610647907,0.0035463288798260706,-0.8663700980005404,0.052494678337102994,-0.49722704944223906,-0.046427730401053316,0.07699658955964492
1739817638596443600,0.320443603515625,2.100814339013711,0.00431586162709918,-0.8672112772348664,0.05263833836135727,-0.49585131396747323,-0.045359078265244004,0.0744605441712545
1739817638606512600,0.3305126953125,2.104003185039686,0.0049398685985782296,-0.8680292997048468,0.05222346496628228,-0.49453747946830195,-0.043970798623737144,0.07151091604640855
1739817638616582700,0.340582763671875,2.107064456418444,0.005382274336075035,-0.8688114933862381,0.05151014248355948,-0.4932787999593735,-0.04258585517921031,0.06874236491581662
1739817638626651600,0.350651611328125,2.109929645354448,0.005689514896554511,-0.8695340651012646,0.0510360885873259,-0.492079467163376,-0.041665356841188605,0.06690942025976737
1739817638636721700,0.3607216796875,2.112459878846476,0.005664018628807941,-0.8701586947021813,0.05072745119396025,-0.4909898823471688,-0.0414833595976467,0.06668166546745077
