time,seconds_elapsed,z,y,x
1739817638304434000,0.028433837890625,-34.162689208984375,-20.554595947265625,-8.86641788482666
1739817638314503000,0.0385029296875,-34.544403076171875,-20.72314453125,-8.90914249420166
1739817638324573000,0.048572998046875,-34.592864990234375,-21.13347816467285,-9.05441665649414
1739817638334642000,0.058641845703125,-34.698699951171875,-21.67970848083496,-9.41268253326416
1739817638344707800,0.068707763671875,-35.074981689453125,-21.83997344970703,-9.750030517578125
1739817638354777600,0.078777587890625,-34.8349609375,-22.266902923583984,-9.982656478881836
1739817638364846600,0.0888466796875,-34.9151611328125,-22.192174911499023,-9.874852180480957
1739817638374916600,0.09891650390625,-34.828521728515625,-21.798419952392578,-10.036236763000488
1739817638384985600,0.108985595703125,-34.903594970703125,-21.806713104248047,-9.927335739135742
1739817638395055900,0.119055908203125,-34.546783447265625,-21.743141174316406,-10.1234712600708
1739817638405124600,0.12912451171875,-34.85858154296875,-22.014911651611328,-10.124025344848633
1739817638415193600,0.139193603515625,-34.268646240234375,-22.490507125854492,-10.498470306396484
1739817638425263600,0.149263671875,-35.097869873046875,-22.089717864990234,-10.208954811096191
1739817638435332900,0.159332763671875,-34.9141845703125,-21.803361892700195,-10.312028884887695
1739817638445402600,0.169402587890625,-34.60345458984375,-21.98333168029785,-10.093212127685547
1739817638455471900,0.179471923828125,-34.544219970703125,-21.90511131286621,-10.302841186523438
1739817638465541600,0.189541748046875,-34.52215576171875,-22.140445709228516,-10.22884750366211
1739817638475610600,0.199610595703125,-34.37139892578125,-21.966060638427734,-10.256080627441406
1739817638485679600,0.2096796875,-34.21063232421875,-22.10411834716797,-10.07348918914795
1739817638495749600,0.21974951171875,-34.521728515625,-22.184650421142578,-10.18979263305664
1739817638505818600,0.229818603515625,-34.681365966796875,-22.15009880065918,-10.30971908569336
1739817638515888600,0.239888671875,-34.442657470703125,-21.966318130493164,-10.230587005615234
1739817638525957600,0.24995751953125,-34.05853271484375,-22.158836364746094,-10.167511940002441
1739817638536027600,0.260027587890625,-34.11798095703125,-22.422714233398438,-10.371373176574707
1739817638546096600,0.2700966796875,-34.0355224609375,-22.327449798583984,-10.339818000793457
1739817638556165600,0.28016552734375,-34.40924072265625,-22.415409088134766,-10.39027214050293
1739817638566235600,0.290235595703125,-34.633575439453125,-22.257211685180664,-10.412373542785645
1739817638576304600,0.3003046875,-34.5206298828125,-22.45061492919922,-10.404789924621582
1739817638586374700,0.310374755859375,-34.59344482421875,-22.226438522338867,-10.299650192260742
1739817638596443600,0.320443603515625,-34.340606689453125,-21.95829963684082,-10.495272636413574
1739817638606512600,0.3305126953125,-34.403167724609375,-21.765838623046875,-10.455498695373535
1739817638616582700,0.340582763671875,-34.619537353515625,-21.581281661987305,-10.564637184143066
1739817638626651600,0.350651611328125,-34.59173583984375,-21.49489402770996,-10.847039222717285
1739817638636721700,0.3607216796875,-34.739990234375,-21.2476749420166,-10.87535572052002
1739817638646790700,0.370790771484375,-34.005889892578125,-21.56205940246582,-10.719489097595215
1739817638656860700,0.380860595703125,-34.16571044921875,-21.551633834838867,-10.877379417419434
1739817638666929700,0.3909296875,-34.072296142578125,-21.828824996948242,-10.808735847473145
1739817638676998700,0.40099853515625,-33.757049560546875,-21.845659255981445,-10.870566368103027
1739817638687068700,0.411068603515625,-33.649200439453125,-22.072481155395508,-10.692461967468262
1739817638697137700,0.4211376953125,-33.941802978515625,-22.221057891845703,-10.778178215026855
1739817638707207700,0.431207763671875,-34.243682861328125,-22.177467346191406,-10.867971420288086
1739817638717276700,0.441276611328125,-33.779327392578125,-22.245773315429688,-10.824822425842285
1739817638727346700,0.4513466796875,-34.087493896484375,-22.20563507080078,-10.781246185302734
1739817638737415700,0.461415771484375,-34.0013427734375,-22.33298683166504,-10.834274291992188
1739817638747484700,0.471484619140625,-34.195037841796875,-22.20566749572754,-10.57761287689209
1739817638757554700,0.4815546875,-34.04412841796875,-22.384443283081055,-10.757073402404785
1739817638767623700,0.491623779296875,-34.08563232421875,-22.267120361328125,-10.866669654846191
1739817638777693700,0.501693603515625,-34.270172119140625,-22.413820266723633,-10.649741172790527
1739817638787762700,0.5117626953125,-34.500457763671875,-22.209285736083984,-10.617692947387695
1739817638797831700,0.521831787109375,-34.7513427734375,-22.039249420166016,-10.743919372558594
1739817638807901700,0.531901611328125,-34.381805419921875,-21.995723724365234,-10.777432441711426
1739817638817970700,0.541970703125,-34.440155029296875,-21.875574111938477,-10.69457721710205
1739817638828040700,0.552040771484375,-34.58258056640625,-21.80506134033203,-10.862724304199219
1739817638838109700,0.562109619140625,-34.0557861328125,-21.858642578125,-10.782787322998047
1739817638848179500,0.572179443359375,-34.09234619140625,-21.9063777923584,-11.0274019241333
1739817638858248700,0.582248779296875,-34.41632080078125,-22.16643714904785,-11.101911544799805
1739817638868317700,0.592317626953125,-34.066650390625,-22.099504470825195,-11.013248443603516
1739817638878387700,0.6023876953125,-34.16632080078125,-22.159584045410156,-10.827713012695312
1739817638888456700,0.612456787109375,-34.115966796875,-22.148683547973633,-11.025178909301758
1739817638898526700,0.622526611328125,-34.10650634765625,-22.199298858642578,-11.013285636901855
1739817638908595500,0.632595458984375,-34.16595458984375,-22.02509880065918,-10.801176071166992
1739817638918664700,0.642664794921875,-33.96026611328125,-22.206010818481445,-10.970588684082031
1739817638928734500,0.652734375,-33.9095458984375,-22.318193435668945,-10.878850936889648
1739817638938803700,0.6628037109375,-34.109161376953125,-21.95358657836914,-10.96666145324707
1739817638948873700,0.672873779296875,-34.767974853515625,-22.05440330505371,-11.091184616088867
1739817638958942700,0.682942626953125,-34.4083251953125,-21.93238067626953,-11.10608196258545
1739817638969012700,0.6930126953125,-34.070465087890625,-21.842580795288086,-10.911486625671387
1739817638979081700,0.703081787109375,-33.93927001953125,-21.863895416259766,-11.071540832519531
1739817638989150700,0.713150634765625,-34.020233154296875,-21.876489639282227,-11.120118141174316
1739817638999220700,0.723220703125,-34.00958251953125,-21.895389556884766,-11.077179908752441
1739817639009289700,0.733289794921875,-34.24432373046875,-22.0751953125,-11.189543724060059
1739817639019359500,0.743359375,-34.15692138671875,-22.2966365814209,-11.096830368041992
1739817639029428700,0.7534287109375,-34.1055908203125,-22.14278221130371,-11.040238380432129
1739817639039497700,0.763497802734375,-33.97247314453125,-22.000925064086914,-10.805266380310059
1739817639049567700,0.773567626953125,-34.1343994140625,-22.035980224609375,-11.064364433288574
1739817639059636500,0.783636474609375,-34.372039794921875,-22.274681091308594,-10.916500091552734
1739817639069706800,0.793706787109375,-34.424407958984375,-22.23414421081543,-11.297989845275879
1739817639079775500,0.803775390625,-34.422149658203125,-22.141948699951172,-11.195570945739746
1739817639089844700,0.8138447265625,-34.336395263671875,-22.1921329498291,-11.12700366973877
1739817639099914500,0.82391455078125,-34.53485107421875,-22.172924041748047,-10.986321449279785
1739817639109983700,0.833983642578125,-34.340789794921875,-22.18448829650879,-10.702146530151367
1739817639120053800,0.8440537109375,-34.391571044921875,-22.29294204711914,-11.007659912109375
1739817639130122800,0.854122802734375,-34.13739013671875,-22.185405731201172,-11.124881744384766
1739817639140192800,0.86419287109375,-34.305419921875,-22.1173038482666,-11.12010383605957
1739817639150261800,0.87426171875,-34.417449951171875,-22.067344665527344,-11.23304557800293
1739817639160330800,0.884330810546875,-34.378753662109375,-22.419357299804688,-11.112191200256348
1739817639170400500,0.894400390625,-34.32977294921875,-22.031665802001953,-11.108654022216797
1739817639180469800,0.9044697265625,-34.4830322265625,-22.02305030822754,-11.256869316101074
1739817639190539500,0.91453955078125,-34.43927001953125,-22.026874542236328,-10.918913841247559
1739817639200608800,0.92460888671875,-34.175201416015625,-22.106929779052734,-11.103259086608887
1739817639210677500,0.934677490234375,-34.616180419921875,-22.16444969177246,-11.142745971679688
1739817639220747800,0.944747802734375,-34.34521484375,-22.123619079589844,-11.148090362548828
1739817639230816500,0.95481640625,-34.469635009765625,-22.076030731201172,-11.033050537109375
1739817639240886800,0.96488671875,-34.663818359375,-22.00423812866211,-11.183959007263184
1739817639250955500,0.97495556640625,-34.7681884765625,-21.934412002563477,-11.094083786010742
1739817639261024800,0.985024658203125,-34.650238037109375,-22.165321350097656,-11.267426490783691
1739817639271094500,0.995094482421875,-34.451446533203125,-22.026071548461914,-11.113025665283203
1739817639281163800,1.005163818359375,-34.660858154296875,-21.706707000732422,-11.1010103225708
1739817639291233500,1.015233642578125,-34.56414794921875,-21.705957412719727,-11.130764961242676
1739817639301302800,1.025302734375,-34.83636474609375,-21.67884635925293,-11.165410041809082
1739817639311372800,1.035372802734375,-34.347259521484375,-21.69999122619629,-11.051002502441406
1739817639321441500,1.045441650390625,-34.4874267578125,-21.846923828125,-11.064156532287598
1739817639331510500,1.055510498046875,-34.385711669921875,-21.90682029724121,-11.159649848937988
1739817639341580500,1.06558056640625,-34.46588134765625,-22.09116554260254,-11.229727745056152
1739817639351649800,1.07564990234375,-33.977783203125,-22.222564697265625,-11.22017765045166
1739817639361719800,1.0857197265625,-34.302886962890625,-21.87740135192871,-11.203497886657715
