time,seconds_elapsed,relativeAltitude,pressure
1738005700874404600,-0.534595458984375,0,1013.6785888671875
1738005701876552700,0.467552734375,-0.031707763671875,1013.6824035644531
1738005702878648800,1.46964892578125,-0.06341552734375,1013.6862182617188
1738005703885522700,2.476522705078125,-0.10040807723999023,1013.6907958984375
1738005704892428500,3.483428466796875,-0.1268312931060791,1013.6939239501953
1738005705899323600,4.49032373046875,-0.14796972274780273,1013.6963653564453
1738005706446672600,5.037672607421875,-0.15325450897216797,1013.6969757080078
1738005707448806700,6.039806640625,-0.15325450897216797,1013.6968231201172
1738005708451437800,7.042437744140625,-0.15325450897216797,1013.6969757080078
1738005709458337500,8.049337646484375,-0.1585390567779541,1013.697509765625
1738005710465229800,9.056229736328126,-0.16910839080810547,1013.6986541748047
1738005711472117800,10.06311767578125,-0.16910839080810547,1013.6986541748047
