time,seconds_elapsed,relativeAltitude,pressure
1739550868675332900,-0.556667236328125,0,1007.6976013183594
1739550869682115800,0.45011572265625,-0.0158538818359375,1007.6994323730469
1739550870689044700,1.457044677734375,-0.02114105224609375,1007.7000427246094
1739550871695955700,2.463955810546875,-0.031711578369140625,1007.7013397216797
1739550872702959900,3.4709599609375,-0.044921875,1007.7030181884766
1739550873709848800,4.477848876953125,-0.05284881591796875,1007.7040100097656
1739550874254505000,5.0225048828125,-0.06870269775390625,1007.7058410644531
1739550875259602000,6.027601806640625,-0.08983993530273438,1007.7083587646484
1739550876263308800,7.031308837890625,-0.12154769897460938,1007.7121734619141
1739550877267285800,8.03528564453125,-0.15061569213867188,1007.7154541015625
1739550878269652000,9.03765185546875,-0.1876068115234375,1007.7199554443359
1739550879274110000,10.04210986328125,-0.21403121948242188,1007.7232360839844
1739550880276607700,11.044607666015626,-0.21403121948242188,1007.7232360839844
1739550881282969600,12.050969482421875,-0.21138763427734375,1007.7229309082031
1739550882289908000,13.057907958984375,-0.21138763427734375,1007.7228546142578
1739550883294271700,14.062271728515626,-0.20874404907226562,1007.7225494384766
1739550884298750000,15.06675,-0.20874404907226562,1007.7225494384766
1739550885302077700,16.07007763671875,-0.23516845703125,1007.7256774902344
1739550886304574700,17.07257470703125,-0.2510223388671875,1007.7275848388672
1739550887309436000,18.077435791015624,-0.2510223388671875,1007.7275848388672
1739550888311532800,19.07953271484375,-0.2510223388671875,1007.7275848388672
1739550889315968800,20.08396875,-0.2510223388671875,1007.7275848388672
1739550890319775000,21.08777490234375,-0.25894927978515625,1007.7285766601562
1739550891322025700,22.090025634765624,-0.25894927978515625,1007.7285766601562
1739550892325465900,23.0934658203125,-0.266876220703125,1007.7295684814453
1739550893328640800,24.096640869140625,-0.2615928649902344,1007.7288818359375
1739550894332887800,25.1008876953125,-0.2615928649902344,1007.7288818359375
1739550895339822800,26.10782275390625,-0.24837875366210938,1007.7272033691406
1739550896346763800,27.114763671875,-0.24573898315429688,1007.7268218994141
1739550897353705000,28.121705078125,-0.24573898315429688,1007.7268218994141
1739550898360649700,29.128649658203123,-0.2563056945800781,1007.7281188964844
1739550899367571700,30.13557177734375,-0.25894927978515625,1007.7285003662109
1739550900372518700,31.1405185546875,-0.266876220703125,1007.7295684814453
1739550901375724800,32.14372485351562,-0.2615928649902344,1007.7287292480469
1739550902378194700,33.146194580078124,-0.2615928649902344,1007.7287292480469
1739550903380203800,34.148203857421876,-0.2563056945800781,1007.728271484375
1739550904383209700,35.15120971679688,-0.2563056945800781,1007.728271484375
1739550905389057800,36.15705786132813,-0.2853736877441406,1007.7315521240234
1739550906395993600,37.16399365234375,-0.3408622741699219,1007.7382659912109
1739550907402930700,38.1709306640625,-0.3989906311035156,1007.7451324462891
1739550908409872000,39.177871826171874,-0.48090362548828125,1007.7550506591797
1739550909417121800,40.18512182617187,-0.583953857421875,1007.7674865722656
1739550910420509000,41.188509033203125,-0.7292823791503906,1007.7848815917969
1739550911423308800,42.191308837890624,-0.74249267578125,1007.7862548828125
1739550912425753900,43.19375390625,-0.8587570190429688,1007.8003692626953
1739550913429420800,44.1974208984375,-0.9168853759765625,1007.8070831298828
1739550914431985000,45.19998486328125,-1.0040817260742188,1007.8176116943359
1739550915438301000,46.20630102539062,-1.0120086669921875,1007.8187561035156
1739550916445206000,47.2132060546875,-1.072784423828125,1007.8260040283203
1739550917452181800,48.220181640625,-1.0859947204589844,1007.8273773193359
1739550918458613800,49.22661376953125,-1.0859947204589844,1007.8273773193359
1739550919462842600,50.23084252929687,-1.0780677795410156,1007.8263854980469
1739550920467927800,51.235927734375,-1.0569305419921875,1007.8240203857422
