time;seconds_elapsed;z;y;x;;;
1,73792E+18;1,066715576;0,029387423;0,100448808;0,054034153;;1,006837158;
1,73792E+18;2,073552734;0,09779285;-0,025143538;-0,050389732;;1,006834473;
1,73792E+18;3,080387207;0,11792846;-0,993052568;0,14939605;;1,006841064;
1,73792E+18;4,087228271;-0,565529604;-1,204559402;-0,280365486;;1,00684375;
1,73792E+18;5,094072021;-4,668268874;0,969620912;1,105129672;;1,006843994;
1,73792E+18;6,100916016;0,181635501;0,846508035;0,641583647;;1,006846191;
1,73792E+18;7,107762207;1,304872053;-0,612769568;-0,312839915;;1,006850098;
1,73792E+18;8,114612305;-1,691704548;-1,310759066;0,227820914;;1,006843262;
1,73792E+18;9,121455566;0,777666627;1,721828615;0,289216755;;1,006846191;
1,73792E+18;10,12830176;-0,019345336;0,132857003;0,092147246;;1,006846436;
1,73792E+18;11,13514819;-0,021177228;0,043351212;-0,039229018;;;
;;;;;;;
;;;;;;;
;;;;;;;
