Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
1.115,0.122,0.793,0.061,0.262,-0.124,0.946
1.119,0.366,0.793,0.183,0.266,-0.131,0.951
1.122,0.366,0.793,0.0,0.263,-0.131,0.949
1.136,0.366,0.793,0.0,0.261,-0.134,0.948
1.144,0.122,0.793,0.183,0.266,-0.131,0.953
1.147,0.244,0.793,0.061,0.26,-0.127,0.949
1.158,0.183,0.732,0.122,0.266,-0.132,0.947
1.172,0.244,0.671,0.122,0.262,-0.127,0.944
1.175,0.061,0.854,0.122,0.263,-0.128,0.948
1.182,0.0,0.854,0.183,0.259,-0.13,0.949
1.197,0.183,0.854,-0.061,0.257,-0.129,0.946
1.207,0.0,0.976,0.061,0.262,-0.13,0.945
1.21,0.0,1.037,0.061,0.262,-0.129,0.946
1.221,0.0,0.915,0.183,0.261,-0.125,0.946
1.232,-0.183,0.976,-0.061,0.263,-0.128,0.943
1.235,-0.183,0.976,0.183,0.262,-0.13,0.95
1.245,-0.183,0.915,0.122,0.261,-0.134,0.948
1.26,-0.183,1.037,-0.061,0.264,-0.129,0.945
1.267,-0.183,0.854,0.0,0.261,-0.132,0.949
1.27,-0.122,0.854,0.122,0.264,-0.13,0.942
1.284,-0.305,0.854,-0.061,0.262,-0.133,0.95
1.295,-0.244,0.732,0.0,0.268,-0.131,0.944
1.298,-0.427,0.793,0.183,0.257,-0.129,0.944
1.305,-0.244,0.976,0.122,0.257,-0.127,0.949
1.32,-0.305,0.976,0.122,0.261,-0.128,0.943
1.323,-0.366,0.793,0.122,0.265,-0.126,0.945
1.33,-0.366,0.915,0.122,0.263,-0.13,0.948
1.333,-0.305,0.976,-0.061,0.26,-0.128,0.947
1.344,-0.305,0.915,0.061,0.259,-0.133,0.945
1.347,-0.244,0.976,0.122,0.261,-0.13,0.951
1.355,-0.488,1.098,-0.061,0.259,-0.13,0.947
1.358,-0.427,0.976,-0.183,0.259,-0.131,0.945
1.366,-0.244,1.22,0.0,0.261,-0.129,0.943
1.38,-0.61,0.427,0.0,0.256,-0.126,0.951
1.383,-0.427,0.732,0.122,0.263,-0.13,0.953
1.39,-0.427,0.732,0.061,0.267,-0.135,0.948
1.393,-0.488,0.854,0.0,0.261,-0.128,0.947
1.407,-0.427,0.732,0.061,0.246,-0.134,0.936
1.415,-0.427,0.854,0.061,0.26,-0.123,0.95
1.418,-0.244,0.976,0.0,0.26,-0.132,0.951
1.429,-0.366,1.037,0.122,0.257,-0.125,0.943
1.443,-0.244,0.915,0.122,0.258,-0.13,0.948
1.446,-0.244,0.854,0.183,0.262,-0.133,0.942
1.453,-0.366,0.793,0.183,0.26,-0.129,0.951
1.47,-0.427,0.854,0.061,0.258,-0.134,0.941
1.478,-0.549,0.793,0.122,0.259,-0.127,0.947
1.481,-0.305,0.793,0.061,0.26,-0.131,0.947
1.492,-0.427,0.671,0.061,0.263,-0.129,0.951
1.503,-0.244,0.793,0.183,0.258,-0.127,0.947
1.506,-0.183,0.854,0.122,0.259,-0.127,0.944
1.509,-0.366,0.671,0.061,0.257,-0.133,0.942
1.516,-0.244,0.915,0.183,0.259,-0.129,0.953
1.531,-0.122,0.793,0.061,0.267,-0.128,0.945
1.538,-0.244,0.61,0.244,0.258,-0.133,0.951
1.541,-0.122,0.61,0.244,0.263,-0.134,0.945
1.555,-0.549,0.61,0.305,0.258,-0.131,0.942
1.566,-0.244,0.671,0.122,0.268,-0.125,0.944
1.569,-0.305,0.671,0.244,0.268,-0.126,0.946
1.576,-0.244,0.671,0.183,0.257,-0.131,0.948
1.591,-0.244,0.793,0.122,0.261,-0.131,0.942
1.594,-0.366,0.854,0.244,0.262,-0.131,0.935
1.601,-0.061,0.854,0.244,0.262,-0.136,0.951
1.604,-0.183,0.793,0.183,0.258,-0.13,0.953
1.615,-0.244,0.549,0.244,0.261,-0.131,0.948
1.618,-0.488,0.793,0.183,0.26,-0.13,0.945
1.626,-0.305,0.671,0.305,0.263,-0.129,0.95
1.629,-0.305,0.915,0.305,0.261,-0.132,0.938
1.639,-0.427,0.854,0.122,0.265,-0.125,0.948
1.654,-0.549,0.793,0.061,0.265,-0.131,0.95
1.657,-0.427,0.976,0.061,0.263,-0.129,0.943
1.661,-0.183,0.915,0.122,0.257,-0.13,0.942
1.664,-0.427,1.098,0.122,0.261,-0.129,0.945
1.678,-0.488,0.854,0.0,0.259,-0.13,0.949
1.686,-0.244,0.793,0.183,0.261,-0.13,0.949
1.689,-0.366,1.037,0.122,0.259,-0.126,0.949
1.7,-0.427,0.793,0.122,0.261,-0.131,0.945
1.714,-0.244,0.793,0.183,0.259,-0.129,0.944
1.717,-0.183,0.793,0.061,0.262,-0.132,0.947
1.724,-0.122,0.732,0.122,0.257,-0.131,0.946
1.739,-0.427,0.854,0.122,0.263,-0.131,0.944
