Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.397,-0.061,0.793,0.061,0.258,-0.1,0.949
0.401,-0.183,1.098,0.244,0.253,-0.099,0.952
0.404,0.0,0.732,0.183,0.253,-0.1,0.953
0.409,-0.061,0.854,0.183,0.257,-0.101,0.953
0.412,0.0,0.854,0.183,0.256,-0.098,0.948
0.415,-0.244,0.854,0.244,0.253,-0.1,0.95
0.419,0.183,0.915,0.061,0.251,-0.099,0.948
0.422,0.061,0.915,0.183,0.257,-0.099,0.95
0.426,0.0,0.793,0.061,0.256,-0.093,0.947
0.429,0.122,0.915,0.122,0.255,-0.095,0.948
0.432,0.061,0.671,0.0,0.254,-0.099,0.951
0.437,-0.183,0.732,0.122,0.259,-0.101,0.948
0.444,-0.122,0.732,0.061,0.26,-0.1,0.947
0.447,0.061,0.793,0.0,0.253,-0.098,0.943
0.45,-0.061,0.976,0.122,0.252,-0.099,0.948
0.454,0.061,0.732,-0.061,0.259,-0.099,0.943
0.457,0.061,0.854,0.061,0.261,-0.097,0.95
0.464,0.122,0.854,0.061,0.255,-0.099,0.945
0.467,-0.122,0.854,-0.061,0.256,-0.096,0.949
0.472,0.0,0.915,-0.061,0.26,-0.097,0.952
0.475,0.061,0.61,0.061,0.254,-0.094,0.955
0.479,0.0,0.732,0.122,0.253,-0.098,0.948
0.482,0.244,0.854,0.305,0.25,-0.098,0.949
0.485,0.0,0.915,0.244,0.254,-0.1,0.952
0.489,-0.122,0.976,0.061,0.257,-0.098,0.958
0.492,-0.122,0.732,0.0,0.252,-0.098,0.95
0.497,-0.061,0.854,0.0,0.258,-0.102,0.953
0.5,0.0,0.732,-0.061,0.255,-0.101,0.955
0.504,-0.183,0.793,0.366,0.252,-0.098,0.952
0.507,0.0,0.671,0.244,0.256,-0.103,0.954
0.51,-0.183,0.61,0.0,0.25,-0.1,0.95
0.514,0.061,0.732,0.183,0.261,-0.098,0.959
0.517,-0.122,0.671,0.122,0.253,-0.096,0.949
0.52,-0.183,0.732,0.061,0.254,-0.097,0.954
0.524,-0.061,0.854,0.0,0.255,-0.098,0.948
0.527,0.0,0.671,0.061,0.255,-0.096,0.952
0.532,0.0,0.732,-0.061,0.255,-0.099,0.949
0.535,-0.061,0.61,-0.122,0.256,-0.097,0.949
0.539,0.122,0.732,0.122,0.259,-0.102,0.951
0.542,0.122,0.854,0.061,0.257,-0.1,0.954
0.545,0.0,0.793,0.0,0.25,-0.097,0.953
0.549,-0.183,0.732,-0.061,0.257,-0.101,0.955
0.552,-0.122,0.915,-0.061,0.254,-0.098,0.953
0.56,-0.244,0.793,0.183,0.254,-0.098,0.95
0.567,0.122,0.854,0.122,0.253,-0.099,0.951
0.57,0.061,0.732,-0.061,0.257,-0.1,0.954
0.574,-0.122,0.793,-0.061,0.256,-0.097,0.943
0.577,0.0,0.732,0.0,0.257,-0.097,0.952
0.58,-0.122,0.915,0.122,0.259,-0.101,0.951
0.587,0.0,0.732,0.183,0.255,-0.098,0.954
0.59,0.183,0.732,0.122,0.254,-0.097,0.952
0.592,0.061,0.793,0.122,0.253,-0.095,0.953
