time,seconds_elapsed,relativeAltitude,pressure
1738005551279429600,-0.5335703125,0,1013.6489105224609
1738005552286308600,0.47330859375,-0.0158538818359375,1013.6509704589844
1738005553293162500,1.48016259765625,-0.03699231147766113,1013.6529541015625
1738005554297521700,2.484521728515625,-0.0475616455078125,1013.6542510986328
1738005555299682600,3.4866826171875,-0.0475616455078125,1013.6543273925781
1738005556303660500,4.49066064453125,-0.0475616455078125,1013.6543273925781
1738005556849739500,5.036739501953125,-0.04227709770202637,1013.6537170410156
1738005557852994600,6.03999462890625,-0.04227709770202637,1013.6537170410156
1738005558857442600,7.044442626953125,-0.05813097953796387,1013.6557006835938
1738005559864376600,8.05137646484375,-0.06341552734375,1013.6562347412109
1738005560871169500,9.05816943359375,-0.06870031356811523,1013.6571502685547
1738005561878042600,10.065042724609375,-0.06870031356811523,1013.6571502685547
