time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1738005551841528800,0.02852880859375,-0.9309432327062319,-0.0023201620826161316,0.44884531285106577,-0.0025783440364104677,-0.8936025773139044,0.002608024409188277,0.006487850211906925
1738005551851597800,0.038597900390625,-0.9309571229438022,-0.002303818366931759,0.4488515976263441,-0.002654019152874964,-0.8935993986180806,0.0026421824320082363,0.0064893225716324094
1738005551861666800,0.048666748046875,-0.9309701812041495,-0.002293288358304199,0.4488575259355566,-0.0027275229722499425,-0.8935962946909464,0.0026780445652991825,0.006502714703236241
1738005551871734800,0.05873486328125,-0.9309742806718998,-0.002295417123362756,0.44885936807681986,-0.002752103240657789,-0.8935953847286985,0.0026928743782746304,0.006519838269512551
1738005551881803800,0.0688037109375,-0.9309491143042196,-0.00229754958656861,0.44884811487903953,-0.002740863584734059,-0.8936010312542604,0.002687610773198062,0.006518889588926688
1738005551891872800,0.078872802734375,-0.930909218446925,-0.0022945801319187967,0.4488302555640032,-0.0027026710346324027,-0.8936100489157496,0.0026646772574275284,0.006492940898519236
1738005551901940700,0.088940673828125,-0.9308787808598399,-0.002305911672492649,0.4488165783223556,-0.002634669845579095,-0.8936169873106037,0.002632265418714691,0.006484057835266967
1738005551912010000,0.099010009765625,-0.9308286461508571,-0.002306286626909991,0.4487941332523922,-0.002597974735923597,-0.893628337792204,0.00261183151698739,0.006466320556432202
1738005551922078700,0.10907861328125,-0.9307709220757973,-0.0023035829635389277,0.44876832269326644,-0.0025719089540454493,-0.8936413169112002,0.0025957857516143924,0.006447011322403665
1738005551932146700,0.119146728515625,-0.9307119576416061,-0.0022864894290278966,0.44874196436127667,-0.0025864003677366315,-0.8936547354088773,0.0025952034851811617,0.006415861647369463
1738005551942216000,0.1292158203125,-0.9306621795877091,-0.0022870386851593567,0.4487197466125919,-0.002604721705340232,-0.8936658385490359,0.002605640507072856,0.006426145613156496
1738005551952285000,0.139284912109375,-0.9306336282505882,-0.0022980352104641616,0.4487069969725364,-0.0026030806752904774,-0.8936721431900202,0.002610192441936748,0.006449848047040718
1738005551962352600,0.1493525390625,-0.9306454196358714,-0.0023047459912300134,0.4487122581854817,-0.002598375760854654,-0.8936694835746912,0.0026109508155737504,0.006462538576360352
1738005551972422000,0.159421875,-0.930692403135163,-0.0023157715808210817,0.44873321733527327,-0.002572190116966236,-0.8936589683976143,0.0026019213158630103,0.006474202358486475
1738005551982491000,0.169490966796875,-0.9307423879770269,-0.0023214341847275187,0.44875554793569716,-0.002572754424601019,-0.8936477419525828,0.002605171014177782,0.006487304229476591
1738005551992558800,0.179558837890625,-0.9308168711643598,-0.002321577804167325,0.4487888410124462,-0.002583159051034696,-0.8936309991819401,0.0026111997871489747,0.006493068062342478
1738005552002627800,0.1896279296875,-0.9309028357814929,-0.0023178477475445263,0.44882727859922694,-0.0026047835217360483,-0.8936116611932449,0.002621581844719076,0.006495832124880412
1738005552012697000,0.199697021484375,-0.9309996369692568,-0.002306838397332725,0.44887056968183897,-0.0026436392491682643,-0.8935899189684242,0.002637968551881322,0.006490993547202589
1738005552022764800,0.209764892578125,-0.9310733737493204,-0.0022926339938829465,0.4489035688616014,-0.0026846947097260085,-0.8935733078342811,0.002653939100915239,0.006480043901477519
1738005552032833800,0.219833740234375,-0.9311230306006604,-0.0022965658229186815,0.448925754456163,-0.00268609854877773,-0.8935621463287354,0.002656789941135195,0.0064896969827671755
1738005552042903000,0.229903076171875,-0.9311467992848405,-0.0023012660080881635,0.44893636581182483,-0.002686113001651025,-0.893556823652671,0.002659202466799901,0.0065002950489100285
1738005552052971000,0.239970947265625,-0.9311446072709497,-0.0023104221700130374,0.44893534614543346,-0.0026672847634552927,-0.8935574016200957,0.002653262903340773,0.006511322671961025
1738005552063039700,0.250039794921875,-0.9311150673421116,-0.0023191319671302256,0.4489221577477432,-0.002653855111134438,-0.8935639027714406,0.002650070665327744,0.006523982384941922
1738005552073109000,0.26010888671875,-0.9310613990254923,-0.0023323497448440437,0.4488981574127596,-0.002630512221714987,-0.8935759134555911,0.00264355150941049,0.006541680567587727
1738005552083177000,0.270177001953125,-0.9309922898336491,-0.002330046633629444,0.44886726365942564,-0.002620424055053417,-0.8935914845776922,0.0026366234240821833,0.006531253978450923
1738005552093246000,0.280245849609375,-0.9309131663986991,-0.002320646554101675,0.44883192462110116,-0.002632071611477059,-0.8936092649830215,0.002638274580515391,0.006515832344304711
1738005552103315000,0.29031494140625,-0.9308510503387549,-0.0023066714736995684,0.4488042131808614,-0.002658100232575699,-0.8936231561137158,0.002645706254239044,0.006497444029135822
1738005552113383000,0.3003828125,-0.9307762936442264,-0.002292218306778486,0.448770831839196,-0.002676748138564162,-0.8936399626785383,0.00264874584487443,0.006474240745238941
1738005552123452000,0.310451904296875,-0.9307281412214107,-0.002280997264617035,0.4487493471164577,-0.0026963520426863392,-0.893650737504191,0.002653992439124811,0.00645882943066722
1738005552133521000,0.32052099609375,-0.9306869657880212,-0.002283867009148219,0.44873090843152774,-0.002691341367435335,-0.8936601359268558,0.0026525550156790926,0.00646261363285542
1738005552143588900,0.3305888671875,-0.9306706349080828,-0.002292288494771778,0.44872359846941184,-0.0026765319414125224,-0.8936637737881283,0.002648468405645031,0.006473976143707574
1738005552153657900,0.340657958984375,-0.9306752798516662,-0.002303309228588268,0.44872567276385117,-0.0026750601100090357,-0.8936626749483848,0.002653187016056722,0.006497914957108114
1738005552163726800,0.350726806640625,-0.9307039567276103,-0.0023056540370242078,0.4487384747573347,-0.0026635745918268563,-0.8936562498474412,0.0026479905281111367,0.006497480459390418
1738005552173795000,0.360795166015625,-0.9307404825190474,-0.0023189107179013417,0.44875475628099937,-0.002630994030278193,-0.8936480722664513,0.0026364851015063927,0.006510896645264638
1738005552183863800,0.37086376953125,-0.9307970203564091,-0.0023262555980126795,0.44877998449378353,-0.0025997471167830285,-0.893635414605656,0.002622793868145813,0.006511809575237892
1738005552193932800,0.380932861328125,-0.9308733986990213,-0.002338752627696692,0.4488140657067265,-0.002552683237252359,-0.8936182824631579,0.0026028767037409735,0.00651636568174729
1738005552204001000,0.3910009765625,-0.9309418452115428,-0.002345912315637106,0.44884458465967225,-0.002500393804049596,-0.8936030247407617,0.0025773403992677382,0.006506325148616691
