X,Y,Z
0.0,0.0,0.0
-0.0038202423598685423,-0.00046509385195952054,0.0
-0.007607704224668449,-0.0011760734691749267,0.0
-0.011304421314676748,-0.0022523241017196154,0.0
-0.014955968991640234,-0.0034845286700511866,0.0
-0.018605664189897782,-0.004722209759417101,0.0
-0.022255002664760222,-0.005960942319522101,0.0
-0.02590434113962267,-0.007199674879627103,0.0
-0.029553457471921857,-0.008439056286335305,0.0
-0.033196253757007195,-0.009696897645547235,0.0
-0.0368408369531879,-0.010949530279004733,0.0
-0.0404886300080069,-0.012192806390248688,0.0
-0.04411771147022921,-0.013488050228770131,0.0
-0.047720782402785995,-0.014855533140743797,0.0
-0.05132385333534279,-0.016223016052717466,0.0
-0.05492692426789958,-0.017590498964691132,0.0
-0.058529995200456375,-0.0189579818766648,0.0
-0.06212556361040038,-0.020345016342332496,0.0
-0.06571851696385274,-0.021738865638164392,0.0
-0.0693114703173051,-0.023132714933996292,0.0
-0.07290442367075746,-0.02452656422982819,0.0
-0.07649737702420982,-0.025920413525660088,0.0
-0.08009033037766218,-0.027314262821491984,0.0
-0.08368593908976167,-0.028701229194156665,0.0
-0.0872840814122391,-0.030081628225876192,0.0
-0.09088222373471655,-0.03146202725759572,0.0
-0.09448289590626535,-0.03283577454836197,0.0
-0.09808896056160785,-0.03419534336275326,0.0
-0.10169502521695033,-0.03555491217714456,0.0
-0.10530108987229281,-0.036914480991535846,0.0
-0.10892164662238034,-0.03823491389453587,0.0
-0.11254349667745353,-0.03955185422657145,0.0
-0.11616534673252672,-0.040868794558607036,0.0
-0.1197871967875999,-0.042185734890642625,0.0
-0.12340904684267309,-0.04350267522267821,0.0
-0.12703089689774627,-0.044819615554713796,0.0
-0.13065274695281948,-0.04613655588674938,0.0
-0.13428671401310283,-0.04741958659036163,0.0
-0.13792297309860743,-0.04869620302557649,0.0
-0.14155923218411207,-0.049972819460791365,0.0
-0.14519549126961667,-0.05124943589600624,0.0
-0.1488317503551213,-0.0525260523312211,0.0
-0.15246800944062594,-0.053802668766435975,0.0
-0.15610426852613055,-0.05507928520165084,0.0
-0.15974052761163518,-0.05635590163686571,0.0
-0.16338025601403341,-0.05762254067670129,0.0
-0.16702409964205941,-0.05887734475466324,0.0
-0.17066794327008541,-0.06013214883262519,0.0
-0.1743117868981114,-0.06138695291058712,0.0
-0.17795873600035061,-0.0626326370768044,0.0
-0.1816111342018592,-0.06386231875805057,0.0
-0.1852635324033678,-0.06509200043929675,0.0
-0.18891593060487638,-0.06632168212054293,0.0
-0.19257242014977818,-0.06753884618125586,0.0
-0.19624602518952713,-0.0687036447353015,0.0
-0.19991963022927606,-0.06986844328934715,0.0
-0.203593235269025,-0.0710332418433928,0.0
-0.20726684030877396,-0.07219804039743843,0.0
-0.21094044534852288,-0.07336283895148409,0.0
-0.21461405038827183,-0.07452763750552974,0.0
-0.21828765542802078,-0.07569243605957537,0.0
-0.2219612604677697,-0.07685723461362103,0.0
-0.22563486550751866,-0.07802203316766668,0.0
-0.2293084705472676,-0.07918683172171231,0.0
-0.23298207558701653,-0.08035163027575797,0.0
-0.23665568062676548,-0.08151642882980362,0.0
-0.24033302498517636,-0.08266932555993226,0.0
-0.24401270609219666,-0.08381478468631502,0.0
-0.24769238719921696,-0.08496024381269779,0.0
-0.25137206830623726,-0.08610570293908054,0.0
-0.2550538645661623,-0.08724431576051754,0.0
-0.25873841272236703,-0.08837402127266826,0.0
-0.2624229608785718,-0.089503726784819,0.0
-0.2661075090347766,-0.09063343229696971,0.0
-0.2697934359156034,-0.09175860616094449,0.0
-0.27348283251696726,-0.09287237560630586,0.0
-0.2771722291183311,-0.09398614505166722,0.0
-0.2808616257196949,-0.09509991449702859,0.0
-0.2845510223210588,-0.09621368394238997,0.0
-0.28824041892242264,-0.09732745338775134,0.0
-0.2919298155237865,-0.0984412228331127,0.0
-0.2956192121251503,-0.09955499227847407,0.0
-0.29930860872651416,-0.10066876172383545,0.0
-0.30299881346628277,-0.10177985004900206,0.0
-0.30668915958718657,-0.10289046932107784,0.0
-0.3103795057080903,-0.10400108859315363,0.0
-0.3140698518289941,-0.1051117078652294,0.0
-0.3177593679968055,-0.10622508081672914,0.0
-0.32144880611140025,-0.10733871273893274,0.0
-0.325138244225995,-0.10845234466113633,0.0
-0.3288261139940505,-0.10957114287812542,0.0
