0,1,2
1.7515844,0.34385535,0.0
1.7465514,0.3047612,0.0
1.7487549,0.3059578,0.0
1.7501106,0.31839556,0.0
1.7497561,0.31775042,0.0
1.7464032,0.32043457,0.0
1.7422428,0.32340005,0.0
1.7463636,0.32701844,0.0
1.7487744,0.32627195,0.0
1.7496082,0.33258972,0.0
1.7487696,0.330568,0.0
1.7392169,0.32488713,0.0
1.7449408,0.3351019,0.0
1.7394936,0.34028,0.0
1.7442014,0.33879346,0.0
1.7454317,0.3382178,0.0
1.7452768,0.33706984,0.0
1.7476455,0.33361608,0.0
1.7423911,0.3342694,0.0
1.7437769,0.33883825,0.0
1.7396307,0.33312908,0.0
1.7342633,0.32174486,0.0
1.7274002,0.31424963,0.0
1.7332003,0.31401053,0.0
1.7290791,0.31150517,0.0
1.725887,0.3075089,0.0
1.7338605,0.3144282,0.0
1.7402616,0.32670996,0.0
1.7469243,0.3459996,0.0
1.7295002,0.321367,0.0
1.7310109,0.3158331,0.0
1.7300402,0.316293,0.0
1.7314092,0.31848747,0.0
1.7324233,0.32173032,0.0
1.7372136,0.32547238,0.0
1.7375886,0.3231965,0.0
1.7358947,0.32140929,0.0
1.7347039,0.32000926,0.0
1.7321,0.3191087,0.0
1.718876,0.31657708,0.0
1.7146076,0.3193611,0.0
1.728082,0.31818765,0.0
1.7336283,0.3207879,0.0
1.7291106,0.32367563,0.0
1.7214338,0.33086422,0.0
1.7142627,0.3351504,0.0
1.7163347,0.33956102,0.0
1.7163508,0.33206025,0.0
1.7198799,0.32302237,0.0
1.7188402,0.3127966,0.0
1.7117536,0.30906507,0.0
1.7088666,0.31325558,0.0
1.7071253,0.31333455,0.0
1.7028779,0.312244,0.0
1.6962302,0.31065395,0.0
1.6957669,0.3116042,0.0
1.6913964,0.307474,0.0
1.693568,0.31047136,0.0
1.698049,0.31702253,0.0
1.7006428,0.32093534,0.0
1.6970011,0.32382762,0.0
1.6907073,0.29567888,0.0
1.6836164,0.2999424,0.0
1.6704153,0.31042963,0.0
1.6823682,0.3108652,0.0
1.692355,0.30859137,0.0
1.69384,0.313664,0.0
1.6956928,0.31463432,0.0
1.6960561,0.31694797,0.0
1.6980196,0.32220203,0.0
1.7021346,0.3266325,0.0
1.6970657,0.3319793,0.0
1.6834478,0.33490568,0.0
1.6872879,0.3314954,0.0
1.69148,0.32746163,0.0
1.693663,0.3232333,0.0
1.68959,0.31933218,0.0
1.6987984,0.31503466,0.0
1.6928397,0.31719533,0.0
1.6935579,0.31791526,0.0
1.6944115,0.31479278,0.0
1.6956897,0.3138167,0.0
1.6913382,0.3163095,0.0
1.6879514,0.30822372,0.0
1.6870706,0.301075,0.0
1.6799226,0.2961472,0.0
1.6734498,0.287165,0.0
1.6634045,0.28265628,0.0
1.6766907,0.295487,0.0
1.6812445,0.30121055,0.0
1.6844954,0.30230784,0.0
1.6887716,0.3074931,0.0
1.6848475,0.31505585,0.0
1.6784233,0.32050928,0.0
1.6844594,0.3249637,0.0
1.683503,0.32608336,0.0
1.6814442,0.32656184,0.0
1.6775386,0.32432595,0.0
1.6673944,0.32404283,0.0
1.6616096,0.32594982,0.0
1.6656238,0.32170856,0.0
1.6707195,0.31488228,0.0
1.6706264,0.31068993,0.0
1.6590382,0.312147,0.0
1.6684624,0.3009807,0.0
1.6562465,0.29478008,0.0
1.6574692,0.28397012,0.0
1.6554658,0.28951287,0.0
1.6563452,0.29602593,0.0
1.65161,0.30559644,0.0
1.645419,0.28917128,0.0
1.6487978,0.29430956,0.0
1.6461979,0.30111745,0.0
1.6512809,0.3034035,0.0
1.6505855,0.30819592,0.0
1.6526204,0.3089268,0.0
1.641858,0.31092682,0.0
1.6325591,0.31062645,0.0
1.6361986,0.3040578,0.0
1.6359149,0.30208206,0.0
1.6357734,0.2992433,0.0
1.6368126,0.29646903,0.0
1.6342822,0.29774457,0.0
1.6391718,0.29330644,0.0
1.6448278,0.29158208,0.0
1.6404632,0.28793234,0.0
1.6313474,0.28989634,0.0
1.642763,0.30333427,0.0
1.6390874,0.30437243,0.0
1.638731,0.30631882,0.0
1.6349624,0.3108694,0.0
1.6503597,0.3083309,0.0
1.6326461,0.30659539,0.0
