Timestamp,Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2),Gyro x (rad/s),Gyro y (rad/s),Gyro z (rad/s),Beccheggio/Pitch (rad/s),Rollio/Roll (rad/s),Imbardata/Yaw (rad/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Altitudine (m),Pressione (milliBar)
0.025947021484375,0.0075163669794797,0.0987675404831767,-0.042602293407917,0.0048619452863931,0.0019228034652769,0.0147972423583269,0.0873921521380953,0.0735702638802248,2.15074112268317,-6.207339286804199,-17.93583869934082,-35.668792724609375,0.0029364495339262754,1015.8564927454303
0.03601611328125,-0.0107984573900699,0.1136475680984556,-0.0113321258753538,0.0004828395321965,0.0183390956372022,0.0078293494880199,0.0874754893168235,0.0736843847870968,2.1508471430116334,-6.330495834350586,-17.791053771972656,-35.44622802734375,0.002989316880181376,1015.856482061304
0.0460849609375,-0.0305181801214814,0.0612708265859633,0.0501952327549457,-0.0190112330019474,0.0191225986927747,-0.0019729482010006,0.0874291689624418,0.0739111395506555,2.1508884832201165,-6.165009498596191,-18.04193687438965,-35.474273681640625,0.0030421829445863137,1015.8564713774367
0.056154296875,-0.0227318370942026,0.0149395027175545,0.0637502953767776,-0.0358289964497089,0.0108520444482564,-0.0067585725337266,0.0871592229397722,0.0741085197845759,2.150854709430422,-6.6051788330078125,-18.67717170715332,-35.592681884765625,0.003095051572691576,1015.8564606930514
0.06622216796875,0.0135951023712754,0.0269585148785263,0.0756003076463937,-0.0515994392335414,-0.0061820661649107,-0.0066621657460927,0.0867199611076162,0.0741707102937893,2.150813876859841,-6.651684761047363,-19.095083236694336,-35.82598876953125,0.003147912509695864,1015.8564500102204
0.076290771484375,0.0410717228397727,0.0296034033641219,0.0713759679496288,-0.0711005255579948,-0.0130018629133701,-0.0001258556731045,0.0861023522572928,0.0741111171007849,2.150804327477604,-6.337495803833008,-18.772680282592773,-35.451690673828125,0.003200777292250639,1015.8564393266122
0.086360107421875,0.0179334238365292,0.0055161330729722,0.0344306773900985,-0.0849641412496566,-0.0155507735908031,0.0018731132149696,0.0853064089890225,0.0739774814508451,2.150857642711269,-6.336668968200684,-19.090206146240234,-35.658233642578125,0.0032536459203559025,1015.8564286422269
0.09642919921875,0.0111018973160535,0.0380829162873327,-0.0253384393960237,-0.0836158394813537,-0.0159053653478622,0.0035203918814659,0.0844432831642464,0.0738131713856114,2.150937440429856,-6.5982208251953125,-19.0300235748291,-35.410797119140625,0.003306513266611003,1015.8564179581007
0.106498046875,0.0192496940668672,0.0760024587064981,-0.050067806982994,-0.0657838433980941,-0.0042881234548985,0.0064317593351006,0.0836839183760377,0.0736940614352015,2.1510549686738707,-6.64070987701416,-18.77603912353516,-35.703857421875,0.00335937933101594,1015.8564072742334
0.116566162109375,0.0235663151569664,0.092556410883367,-0.0430026909023523,-0.0518309772014617,0.0100868437439203,0.0116534568369388,0.0830810346328028,0.0737080407505534,2.151203961431932,-6.600810050964356,-18.77706527709961,-35.636474609375,0.0034122415498703904,1015.8563965911434
0.126635009765625,0.009880758023262,0.0775154205527156,-0.0602495937794446,-0.0335443802177906,0.0096572749316692,0.0155078507959842,0.0826597182717746,0.073819948097442,2.1513767201335585,-6.326913833618164,-18.56332778930664,-36.01171875,0.0034651076142753283,1015.8563859072761
0.1367041015625,0.0184622700162231,0.0545039627995342,-0.0786520964324474,-0.0131097976118326,0.0008207377977669,0.0156184108927845,0.0824487262976509,0.0738440195040054,2.1515480838276764,-6.78822135925293,-18.775297164916992,-35.291168212890625,0.0035179749605304287,1015.8563752231498
0.14677294921875,0.0254047826305031,0.0648809799071401,-0.052346857830882,-0.0065187402069568,-0.0110356556251645,0.0080845933407545,0.0823621840270649,0.0737760066289001,2.1516700664888533,-6.418294906616211,-18.72232818603516,-35.513031005859375,0.0035708410249353667,1015.8563645392826
0.156842041015625,0.0035683600060641,0.0664015405379235,0.0230909527301788,-0.0066396230831742,-0.0239407774060964,0.002981481142342,0.0823034049341597,0.0736056715714553,2.15171524638939,-6.584065437316895,-19.049545288085938,-35.75152587890625,0.003623708371190466,1015.8563538551564
0.166909912109375,-0.0005064151521772,0.0298137581791728,0.0522580105036497,-0.0141630535945296,-0.0325704850256443,0.0023031746968626,0.0822037495550554,0.073316935283529,2.151737918123161,-6.607666969299316,-19.14128875732422,-35.56317138671875,0.003676569308194754,1015.8563431723254
0.17697900390625,-0.0084150693848729,0.0228608703013509,0.099966102617979,-0.0273623652756214,-0.0302269216626882,-0.0040769213810563,0.0819669788443395,0.0729908577024448,2.1517603737388145,-6.672697067260742,-19.15985679626465,-35.599029541015625,0.0037294366544498546,1015.8563324881991
0.187048095703125,-0.0320958777669817,0.0463861227955669,0.1044680902123451,-0.0312441885471344,-0.0236451849341392,-0.0087473066523671,0.081633450961228,0.0727164532537935,2.151712392734048,-6.551185607910156,-18.915809631347656,-35.672576904296875,0.0037823040007049545,1015.8563218040728
0.197116943359375,-0.0357622913200408,0.034666166646406,0.1044669211685657,-0.0388820506632328,-0.0124651817604899,-0.0079071167856454,0.0812304696070562,0.0725375686937274,2.1516438907724647,-6.712512016296387,-18.97161293029785,-35.7225341796875,0.003835170065109893,1015.8563111202056
0.20718603515625,-0.0421572530541569,0.0158766374371945,0.0788239458680152,-0.0436152890324592,-0.0007629860192537,-0.0066133537329733,0.0807931388939508,0.0724695402997064,2.1516059532858294,-6.530107498168945,-18.94414710998535,-35.841400146484375,0.0038880374113649933,1015.8563004360793
