epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739398165363,2025-02-12T23.09.25.363,0.000,0.240,-0.144,0.942
1739398165373,2025-02-12T23.09.25.373,0.010,0.241,-0.143,0.950
1739398165383,2025-02-12T23.09.25.383,0.020,0.240,-0.146,0.949
1739398165394,2025-02-12T23.09.25.394,0.031,0.242,-0.146,0.946
1739398165404,2025-02-12T23.09.25.404,0.041,0.241,-0.145,0.945
1739398165414,2025-02-12T23.09.25.414,0.051,0.239,-0.146,0.945
1739398165424,2025-02-12T23.09.25.424,0.061,0.243,-0.146,0.946
1739398165433,2025-02-12T23.09.25.433,0.070,0.242,-0.146,0.951
1739398165443,2025-02-12T23.09.25.443,0.080,0.242,-0.145,0.948
1739398165454,2025-02-12T23.09.25.454,0.091,0.237,-0.144,0.947
1739398165464,2025-02-12T23.09.25.464,0.101,0.239,-0.145,0.946
1739398165474,2025-02-12T23.09.25.474,0.111,0.243,-0.145,0.943
1739398165484,2025-02-12T23.09.25.484,0.121,0.240,-0.145,0.945
1739398165495,2025-02-12T23.09.25.495,0.132,0.239,-0.146,0.946
1739398165503,2025-02-12T23.09.25.503,0.140,0.238,-0.143,0.947
1739398165514,2025-02-12T23.09.25.514,0.151,0.240,-0.146,0.946
1739398165524,2025-02-12T23.09.25.524,0.161,0.242,-0.145,0.948
1739398165534,2025-02-12T23.09.25.534,0.171,0.241,-0.146,0.950
1739398165544,2025-02-12T23.09.25.544,0.181,0.242,-0.146,0.948
1739398165555,2025-02-12T23.09.25.555,0.192,0.241,-0.148,0.944
1739398165564,2025-02-12T23.09.25.564,0.201,0.238,-0.141,0.946
1739398165574,2025-02-12T23.09.25.574,0.211,0.240,-0.146,0.949
1739398165584,2025-02-12T23.09.25.584,0.221,0.237,-0.149,0.946
1739398165594,2025-02-12T23.09.25.594,0.231,0.242,-0.145,0.951
1739398165605,2025-02-12T23.09.25.605,0.242,0.244,-0.148,0.950
1739398165615,2025-02-12T23.09.25.615,0.252,0.241,-0.146,0.949
1739398165625,2025-02-12T23.09.25.625,0.262,0.240,-0.147,0.947
1739398165634,2025-02-12T23.09.25.634,0.271,0.242,-0.146,0.946
1739398165644,2025-02-12T23.09.25.644,0.281,0.241,-0.147,0.950
1739398165654,2025-02-12T23.09.25.654,0.291,0.242,-0.146,0.948
