time,seconds_elapsed,relativeAltitude,pressure
1739817454842926300,-0.53507373046875,0,1014.5476531982422
1739817455846565400,0.4685654296875,-0.0158538818359375,1014.5494842529297
1739817456854011400,1.476011474609375,-0.031707763671875,1014.5513153076172
1739817457856049400,2.47804931640625,-0.05284690856933594,1014.5539093017578
1739817458858751200,3.480751220703125,-0.05813121795654297,1014.5549011230469
1739817459861247200,4.483247314453125,-0.08983898162841797,1014.5583343505859
1739817460409071400,5.0310712890625,-0.1426858901977539,1014.5649719238281
1739817461415626200,6.037626220703125,-0.19553184509277344,1014.5711517333984
1739817462423005400,7.04500537109375,-0.2378091812133789,1014.5760345458984
1739817463429921300,8.05192138671875,-0.24309349060058594,1014.5770263671875
1739817464432314400,9.054314453125,-0.24309349060058594,1014.5770263671875
1739817465435049200,10.05704931640625,-0.2061014175415039,1014.5724487304688
1739817466438984400,11.060984375,-0.12154674530029297,1014.5622253417969
1739817467441497300,12.063497314453125,-0.03699302673339844,1014.5522308349609
1739817468445897200,13.067897216796876,0.0475616455078125,1014.5417785644531
1739817469452663300,14.074663330078126,0.10040760040283203,1014.5354461669922
1739817470459454200,15.0814541015625,0.13211536407470703,1014.5317840576172
1739817471466539300,16.088539306640627,0.158538818359375,1014.5288848876953
1739817472473583400,17.095583251953126,0.158538818359375,1014.5288848876953
1739817473480722400,18.102722412109376,0.10569286346435547,1014.5350646972656
1739817474487782400,19.109782470703124,0.07398509979248047,1014.5388031005859
1739817475492425500,20.114425537109376,0.03699207305908203,1014.5429992675781
1739817476495950300,21.117950439453125,-0.021139144897460938,1014.5500946044922
1739817477498235400,22.1202353515625,-0.08983898162841797,1014.5584869384766
1739817478500920300,23.12292041015625,-0.1426858901977539,1014.5648193359375
1739817479503591400,24.12559130859375,-0.18496227264404297,1014.5699310302734
1739817480507454500,25.129454345703124,-0.18496227264404297,1014.5699310302734
1739817481512080400,26.134080322265625,-0.17967796325683594,1014.5692443847656
1739817482519173400,27.14117333984375,-0.1426858901977539,1014.5650482177734
1739817483522164200,28.144164306640626,-0.1268320083618164,1014.5630645751953
1739817484525540400,29.147540283203124,-0.10040855407714844,1014.5597839355469
1739817485530171400,30.15217138671875,-0.10040855407714844,1014.5597839355469
1739817486533051400,31.155051513671875,-0.1109781265258789,1014.5608520507812
1739817487539242200,32.1612421875,-0.1109781265258789,1014.5608520507812
1739817488546267400,33.168267333984375,-0.10569286346435547,1014.5602416992188
1739817489553289500,34.17528955078125,-0.08455467224121094,1014.55810546875
1739817490560267500,35.182267578125,-0.05284690856933594,1014.5542907714844
1739817491567333400,36.18933349609375,-0.031707763671875,1014.5512390136719
1739817492571718400,37.19371850585937,-0.0052852630615234375,1014.5481109619141
1739817493575286300,38.19728637695312,0.026422500610351562,1014.5447540283203
1739817494577765400,39.199765380859375,0.03699207305908203,1014.5429229736328
1739817495580196400,40.2021962890625,0.05813121795654297,1014.5407867431641
1739817496583393300,41.205393310546874,0.06869983673095703,1014.5393371582031
1739817497589288400,42.211288330078126,0.0792694091796875,1014.5381927490234
1739817498596187400,43.2181875,0.0792694091796875,1014.5378112792969
1739817499598545400,44.22054541015625,0.10040760040283203,1014.5355224609375
1739817500605388300,45.22738818359375,0.13211536407470703,1014.5320892333984
1739817501607379500,46.22937939453125,0.14796924591064453,1014.5297241210938
1739817502611282400,47.233282470703124,0.2061004638671875,1014.5231628417969
1739817503616088300,48.23808837890625,0.2378082275390625,1014.5187377929688
1739817504623055400,49.245055419921876,0.253662109375,1014.5171356201172
