time,seconds_elapsed,z,y,x
1739817455399987500,0.021987548828125,-33.176971435546875,-18.568389892578125,-14.002921104431152
1739817455410059500,0.0320595703125,-33.05419921875,-18.507164001464844,-14.021674156188965
1739817455420131300,0.04213134765625,-33.162811279296875,-18.87924575805664,-14.150397300720215
1739817455430202400,0.052202392578125,-32.958526611328125,-19.575695037841797,-14.429911613464355
1739817455440274400,0.0622744140625,-32.755462646484375,-19.792314529418945,-14.55376148223877
1739817455450346500,0.072346435546875,-32.85443115234375,-19.698217391967773,-14.827645301818848
1739817455460417500,0.08241748046875,-33.00347900390625,-19.564971923828125,-14.875773429870605
1739817455470489600,0.092489501953125,-32.615753173828125,-20.01563835144043,-14.732159614562988
1739817455480561400,0.1025615234375,-32.12310791015625,-20.018009185791016,-14.755898475646973
1739817455490633500,0.112633544921875,-32.14105224609375,-20.21002960205078,-15.119956016540527
1739817455500704500,0.12270458984375,-32.1959228515625,-20.300682067871094,-15.081772804260254
1739817455510776600,0.132776611328125,-32.25396728515625,-20.098644256591797,-14.892395973205566
1739817455520848600,0.1428486328125,-32.2398681640625,-20.251502990722656,-15.094826698303223
1739817455530919400,0.15291943359375,-32.494873046875,-20.520292282104492,-15.16906452178955
1739817455540991500,0.162991455078125,-32.13531494140625,-20.331632614135742,-14.993815422058105
1739817455551063600,0.1730634765625,-32.158203125,-20.541013717651367,-15.000569343566895
1739817455561134600,0.183134521484375,-31.87969970703125,-20.690290451049805,-14.899161338806152
1739817455571206700,0.19320654296875,-32.17333984375,-20.691099166870117,-14.882044792175293
1739817455581278500,0.203278564453125,-32.264495849609375,-20.94849967956543,-14.894082069396973
1739817455591349500,0.213349609375,-32.169586181640625,-21.008277893066406,-14.73144245147705
1739817455601421600,0.223421630859375,-31.951629638671875,-20.66275978088379,-14.583090782165527
1739817455611493600,0.23349365234375,-32.11212158203125,-21.079557418823242,-14.630541801452637
1739817455621565700,0.243565673828125,-31.9990234375,-20.985942840576172,-14.590472221374512
1739817455631636700,0.25363671875,-31.959869384765625,-21.04104995727539,-14.777235984802246
1739817455641708500,0.26370849609375,-31.873291015625,-21.323312759399414,-15.05836009979248
1739817455651780600,0.273780517578125,-31.85101318359375,-21.162677764892578,-15.173991203308105
1739817455661851600,0.2838515625,-31.889404296875,-20.94863510131836,-15.13428783416748
1739817455671923700,0.293923828125,-31.621490478515625,-20.969890594482422,-15.108162879943848
1739817455681995500,0.30399560546875,-31.68914794921875,-21.134418487548828,-15.208653450012207
