0,1,2
0.0,0.0,0.0
1.2226599241977746e-06,-1.869765621511604e-06,-3.080459550829034e-06
1.982953327457628e-06,-2.8094876673745357e-06,-4.667803201435195e-06
2.823391867237963e-06,-3.7352764450599975e-06,-6.238278080307084e-06
3.7516455769063667e-06,-4.649836591024294e-06,-7.78521331727469e-06
4.770773220638788e-06,-5.553233175635043e-06,-9.295463396764874e-06
5.880631341984723e-06,-6.445983785331312e-06,-1.0755169475921762e-05
7.082243305527299e-06,-7.333429869379641e-06,-1.2157811934100908e-05
8.36699811222365e-06,-8.214219697885846e-06,-1.3485805623130058e-05
9.729413936540456e-06,-9.093063433965243e-06,-1.473238063841826e-05
1.1161930366600318e-05,-9.974414580773967e-06,-1.589147783732241e-05
1.265058958290607e-05,-1.0858608298979059e-05,-1.6952255579569494e-05
1.4181534070259687e-05,-1.1747314445262054e-05,-1.790837922727766e-05
1.5749109684207803e-05,-1.2648980360501335e-05,-1.8765813270485296e-05
1.7331011235624373e-05,-1.3558799796745413e-05,-1.9513409818562388e-05
1.891404775462679e-05,-1.4478953221069332e-05,-2.015338992401541e-05
2.0491751972029933e-05,-1.541561362424572e-05,-2.0695495507311703e-05
2.204316898698913e-05,-1.636306680759228e-05,-2.1136182438701426e-05
2.355513551715185e-05,-1.7320118925196453e-05,-2.148100350307673e-05
2.502525323823444e-05,-1.8291681795644252e-05,-2.174465075178629e-05
2.6437168440118862e-05,-1.9270744656958156e-05,-2.192965322183606e-05
2.777808803993367e-05,-2.0250958042192735e-05,-2.2042122709895112e-05
2.9054715178507168e-05,-2.1238073761732442e-05,-2.2102026015076415e-05
3.025368504641798e-05,-2.2221203230987272e-05,-2.2113118574283886e-05
3.137092851187129e-05,-2.3194078036590877e-05,-2.2085431278493332e-05
3.241608372681216e-05,-2.4158615831804427e-05,-2.2036581403788022e-05
3.338418955677556e-05,-2.5104005567137157e-05,-2.1972742918887036e-05
3.4275716848348184e-05,-2.6021569003431276e-05,-2.190242342771239e-05
3.511061652261976e-05,-2.691605190779265e-05,-2.184408049991264e-05
3.588378206706911e-05,-2.7771652618909376e-05,-2.1798944628003508e-05
3.660423327251612e-05,-2.8582232813322686e-05,-2.1775209939522954e-05
3.729643332921414e-05,-2.9353240823903993e-05,-2.1787805789222852e-05
3.795744067442905e-05,-3.006803343321084e-05,-2.18340620955264e-05
3.8604169875130616e-05,-3.072556180586473e-05,-2.1921007677093362e-05
3.925336306879021e-05,-3.132500268569645e-05,-2.205376599446383e-05
3.991618550647852e-05,-3.186167155769435e-05,-2.2232846466913513e-05
4.059835455013877e-05,-3.232748065957737e-05,-2.2454523731257858e-05
4.132515620794711e-05,-3.2731222811925494e-05,-2.2724654797153722e-05
4.2099033521012136e-05,-3.3065002134885065e-05,-2.3035720287167593e-05
4.2926932451462365e-05,-3.332647106448333e-05,-2.338209778588479e-05
4.382952555849341e-05,-3.352574027897519e-05,-2.376520240250752e-05
4.4809160831088015e-05,-3.3660740855852475e-05,-2.4176403209937264e-05
4.5860067805890485e-05,-3.3726056772733665e-05,-2.4602957833866654e-05
4.7007677032390714e-05,-3.374095855460291e-05,-2.5049170240009224e-05
4.82403697291675e-05,-3.369992801282892e-05,-2.5500182614939175e-05
4.955022506139292e-05,-3.3603070797835175e-05,-2.5944165203909266e-05
5.095868406290509e-05,-3.347135697542337e-05,-2.638549027355211e-05
5.244053578464333e-05,-3.329686110754011e-05,-2.6805542695780494e-05
5.399450575045457e-05,-3.3089051096910124e-05,-2.71995103061821e-05
5.562406026893339e-05,-3.286058424082088e-05,-2.756607555402512e-05
5.730935084498682e-05,-3.261137541222191e-05,-2.789381986072891e-05
5.903359705112892e-05,-3.2344556782310626e-05,-2.8174662118232233e-05
6.0812337370411474e-05,-3.207997252336927e-05,-2.841685308659962e-05
6.26001860062687e-05,-3.180612277846169e-05,-2.8601843394606594e-05
6.44007788223035e-05,-3.153654159523463e-05,-2.8735127199655663e-05
6.62047515376447e-05,-3.127707586945175e-05,-2.8817129615937414e-05
6.799807085462464e-05,-3.103059144202142e-05,-2.884728493932566e-05
6.97490969575282e-05,-3.0791866760358796e-05,-2.88191196626674e-05
7.147913551721495e-05,-3.057703306720588e-05,-2.874826855011694e-05
7.31567415262185e-05,-3.037839552787609e-05,-2.8629631953226626e-05
7.476062642257421e-05,-3.0191995375435734e-05,-2.846334349653227e-05
7.631806854342716e-05,-3.003108746895448e-05,-2.82674660876836e-05
7.779069315635829e-05,-2.9881970450573095e-05,-2.8036002523802677e-05
