0,1,2
0.0,0.0,0.0
6.558423331810148e-07,-1.2991320261399424e-06,-6.909770270298819e-07
1.0605201004743816e-06,-2.72335916419149e-06,-1.2616549471995223e-06
1.3370196450753144e-06,-4.69011821118775e-06,-1.8789786146799534e-06
1.1467429652742183e-06,-5.668410741427168e-06,-1.9883057353257026e-06
9.095243916502703e-07,-7.259197762913855e-06,-2.210380387180217e-06
4.977431341722072e-07,-8.969881248518677e-06,-2.357657567241642e-06
-1.7257747919196516e-07,-1.2169136340637903e-05,-2.6980895292523536e-06
-5.40732612950506e-07,-9.880021239403787e-06,-1.9584274605863834e-06
-1.933723903241313e-06,-1.637409284011541e-05,-2.6522692943388905e-06
-2.7525247061438134e-06,-1.6935156850007916e-05,-2.323757122039131e-06
-3.917501749633515e-06,-1.9177748508385505e-05,-2.195925685024828e-06
-5.198669711441593e-06,-2.150471271679339e-05,-2.0362398917402776e-06
-7.458749199052635e-06,-2.6686321529683336e-05,-2.0100646110247013e-06
-8.182998115173359e-06,-2.660689015588442e-05,-1.636586876470922e-06
-8.546902363138991e-06,-2.5875030678962055e-05,-1.3137977990356738e-06
-1.1163306312037778e-05,-3.142994725910069e-05,-1.2429807532044906e-06
-1.2791927599961305e-05,-3.4011959910791116e-05,-1.0445120112882224e-06
-1.444155100236835e-05,-3.6607539812892896e-05,-8.624540363663913e-07
-1.7979084186412248e-05,-4.355204197811195e-05,-7.479469131608349e-07
-1.791052404821495e-05,-4.2047673363509746e-05,-5.64142626394421e-07
-1.7364907921330235e-05,-3.9800767068957816e-05,-4.4719823840167673e-07
-2.0976314551168987e-05,-4.687760343647936e-05,-4.597921724456229e-07
-2.2539959007694256e-05,-4.935877524076003e-05,-4.866788417074258e-07
-2.4061782079930028e-05,-5.178623650916681e-05,-5.806823413846145e-07
-2.8339933508092862e-05,-5.996294791241425e-05,-8.463345247450763e-07
-2.712014202077218e-05,-5.669123560880931e-05,-1.0128462873837264e-06
-2.8507348198750533e-05,-5.891896866496766e-05,-1.3498333572967205e-06
-2.6683418640350578e-05,-5.466957281088508e-05,-1.5480840611394806e-06
-3.1025801588262416e-05,-6.293136560296501e-05,-2.259991816371705e-06
-3.574787454977351e-05,-7.176391821181712e-05,-3.2547433943606374e-06
-3.3686529106543846e-05,-6.706661101882585e-05,-3.635155428435413e-06
-3.4921620880201235e-05,-6.892412415049089e-05,-4.426427788365498e-06
-3.6145380386109926e-05,-7.071413656459508e-05,-5.297768520037578e-06
-4.130259835138874e-05,-7.997555650166228e-05,-7.014003606651269e-06
-3.067248981343322e-05,-5.902108267884276e-05,-5.6349599207155325e-06
-4.3860993839917254e-05,-8.339035861494225e-05,-9.182496207736824e-06
-4.105108159304442e-05,-7.729685335107131e-05,-9.385707847084113e-06
-4.230539898995125e-05,-7.882516927754685e-05,-1.04975724641907e-05
-4.3578631067139526e-05,-8.031748247587083e-05,-1.1618275497224183e-05
-4.9572774715463993e-05,-9.020043949950693e-05,-1.4191805688800085e-05
-4.6320452029750176e-05,-8.336094555181766e-05,-1.3944748528794768e-05
-4.271822242844026e-05,-7.610283169916398e-05,-1.3367374219764357e-05
-4.890226751712852e-05,-8.6021031654859e-05,-1.593807157348897e-05
-5.030165501471412e-05,-8.73940843845951e-05,-1.692238682956814e-05
-5.173089420313764e-05,-8.875039563655935e-05,-1.78532346510369e-05
-5.8749230532068576e-05,-9.932212356221787e-05,-2.0747309022549452e-05
-5.4830118469174665e-05,-9.154937568194927e-05,-1.9628475944110623e-05
-5.6359572065475604e-05,-9.285647307512471e-05,-2.0379425309772236e-05
-5.1925174909358354e-05,-8.455580894455046e-05,-1.886559277392632e-05
-5.938034121041658e-05,-9.528543451947886e-05,-2.1630072150955845e-05
-6.1032612714763415e-05,-9.653390418693841e-05,-2.220769507888467e-05
-6.928225577378786e-05,-0.00010773937527803179,-2.510002080560313e-05
-6.465079403368029e-05,-9.908382315794805e-05,-2.3273030884599873e-05
-6.645614287253279e-05,-0.00010025824346339932,-2.371615639069149e-05
-6.12397163995782e-05,-9.110784847662282e-05,-2.165532541112113e-05
-7.005994886181178e-05,-0.00010240700520714108,-2.44642980664776e-05
-7.957452415221797e-05,-0.00011402742455149767,-2.736661623823801e-05
-7.429415628614364e-05,-0.00010466558731180629,-2.520103645005272e-05
-7.641033673043319e-05,-0.00010569607247734221,-2.5528316869986705e-05
-7.85902946634258e-05,-0.00010669844640151112,-2.584565907656994e-05
-8.927969655827496e-05,-0.00011860464285563082,-2.8823616194384737e-05
-6.613713133308854e-05,-8.674752000248865e-05,-2.1120660500596817e-05
-9.415972025817497e-05,-0.00012055902181389671,-2.945894426315162e-05
-8.788306768844182e-05,-0.00011045892949212424,-2.706793203694728e-05
-9.032238762272934e-05,-0.00011134765040972643,-2.737049513223114e-05
-9.279335502615076e-05,-0.0001122210777490176,-2.767442143100582e-05
-0.00010522523523451513,-0.00012453354612656107,-3.0829340073222863e-05
-9.804309481313705e-05,-0.00011402059249743613,-2.832161172873191e-05
-9.016166548813345e-05,-0.00010326473277405624,-2.5731133379112762e-05
-0.00010281414337797195,-0.00011562332393031776,-2.892849879520017e-05
-0.0001053118613884439,-0.00011646568426233517,-2.9260611506088355e-05
-0.00010779157113293866,-0.00011731142928279448,-2.960481290653471e-05
-0.0001216799555084827,-0.00013012056976368202,-3.301873345564805e-05
-0.0001129248413819855,-0.00011911165971437199,-3.037727043910495e-05
-0.00010346811763563701,-0.00010787184619668813,-2.7646900138207938e-05
-0.00011746000723823588,-0.00012079510847707365,-3.1164009592131216e-05
-0.00011980991443052401,-0.00012171027632972028,-3.161905965217877e-05
-0.00012213966712617438,-0.00012265042082763942,-3.2106638179779686e-05
-0.00013728469609674353,-0.00013613891197465265,-3.5975849036016155e-05
-0.00012699811495421677,-0.00012471626446845156,-3.3239964775210586e-05
-0.00012931129245218973,-0.00012575372570815192,-3.3838048013106176e-05
-0.00011816018181998243,-0.00011400472248004946,-3.0943411078907397e-05
-0.0001337543254117052,-0.00012784418828462463,-3.508517292516827e-05
-0.0001501409163232531,-0.00014209806779868388,-3.9484793518905136e-05
-0.00013879805176425074,-0.00013033462973041987,-3.659747364969332e-05
-0.00014127380901561896,-0.0001315950543989758,-3.735881325362363e-05
-0.00014380781888882052,-0.00013290501343415513,-3.8138385720604904e-05
-0.00016146992257443606,-0.00014791125124184328,-4.295089714231494e-05
-0.00011883055768240228,-0.00010831296195260663,-3.165059432547514e-05
-0.00016713613824218085,-0.0001509197483190692,-4.4602371319011296e-05
-0.00015461188052870803,-0.00013862822638816664,-4.128078667107772e-05
-0.00015748480899839535,-0.00014016941185809927,-4.2030286202867066e-05
-0.00016042223202395665,-0.0001417474524883181,-4.2748785676562564e-05
-0.00018025063913163628,-0.0001579557628555028,-4.788727642098731e-05
-0.00013268786396484504,-0.00011573262267047121,-3.515077658142444e-05
-0.00018669248267184693,-0.00016140252005797962,-4.91523266223996e-05
-0.00017270377752506158,-0.0001483148295014625,-4.519013183014024e-05
-0.00017587273069242355,-0.0001499872903117098,-4.567420221319348e-05
-0.00017906631055064057,-0.00015165717904929387,-4.610591618292223e-05
-0.00020103341411060912,-0.00016892300033550384,-5.120299818134144e-05
-0.00018582019227799312,-0.00015512546681919174,-4.6861951291990104e-05
-0.0001697084928907979,-0.00014084917408939442,-4.239576391929798e-05
-0.00019195590489737253,-0.00015816776665299444,-4.7376572710096966e-05
-0.00019518351122991442,-0.0001597191927068552,-4.760027921311219e-05
-0.00019840679771331314,-0.00016123069542654588,-4.7799936442633575e-05
-0.00022231864204666016,-0.0001792152853547324,-5.281251414624597e-05
-0.00020515996218523725,-0.00016427366128610968,-4.817400062845933e-05
-0.0002083698893753815,-0.000165655627880792,-4.8342640414182526e-05
-0.00018998830263661378,-0.00015011322789263996,-4.363935589094016e-05
-0.0002144726867091999,-0.00016816502289406158,-4.867639884271418e-05
-0.00023999768331668507,-0.00018659547470945844,-5.378758006968512e-05
-0.00022125950204917544,-0.00017081822200160126,-4.909984006079748e-05
-0.00022452509450070579,-0.0001720546218298263,-4.933350171954797e-05
-0.00022782436206194591,-0.00017328734844357553,-4.9592857543541937e-05
-0.0002548319074799535,-0.00019218515660792172,-5.4914192537026907e-05
-0.0001871068330485516,-0.00014042906319725607,-4.010880144270082e-05
-0.00026201389901086945,-0.00019486164510882707,-5.5625544374075464e-05
-0.00024155556898812868,-0.00017842166133908037,-5.093804145594269e-05
-0.00024517091565655607,-0.0001798182482164517,-5.1359409894349854e-05
-0.00024887740584053126,-0.0001812844580556585,-5.181640800048249e-05
-0.00027857036297336703,-0.00020136308386134932,-5.761821559267578e-05
-0.0002046471633083708,-0.00014731188178721664,-4.218483083019699e-05
-0.00028688563962532765,-0.00020491396141376276,-5.876780991831087e-05
-0.00026473170227414296,-0.0001880368266544779,-5.39921876974736e-05
-0.000268964639468313,-0.00018997832192443285,-5.4616986438190544e-05
-0.00027330285498563097,-0.00019202630535032096,-5.527023911177407e-05
-0.0003062392861454368,-0.00021394337590428046,-6.165421262279455e-05
-0.00028271144836977463,-0.0001966418707840721,-5.671842511579385e-05
-0.00025797718985194146,-0.00017877903186113716,-5.160097956070426e-05
-0.0002915592268896927,-0.00020118849663881052,-5.811022947812026e-05
-0.0002963107206644332,-0.00020369125031830947,-5.886493837957283e-05
-0.0003011120887213451,-0.00020625322628313157,-5.9631263029783316e-05
-0.00033734060098398664,-0.0002301714337410696,-6.657410921510524e-05
-0.0003112958908471919,-0.00021175279809497455,-6.126471204239856e-05
-0.00031617226972416356,-0.00021440018143147676,-6.204959278657298e-05
-0.00028828749561685314,-0.0001949825661332483,-5.6446093530881995e-05
-0.00032543384910340567,-0.00021940267410825514,-6.354190146955938e-05
-0.0003641197094198799,-0.0002446194746290464,-7.088456532290315e-05
-0.00033560792138831886,-0.00022479111595407337,-6.517685628510811e-05
-0.00034041475297672306,-0.0002272707859270807,-6.594431129707116e-05
-0.0003451931448698265,-0.00022968069410611846,-6.670155702961054e-05
-0.0003857232010677199,-0.00025560602969534164,-7.431490296544999e-05
-0.0002829769395113578,-0.00018705198702456628,-5.442458460238349e-05
-0.00039556127303852544,-0.0002601981709512485,-7.581921334984106e-05
-0.00036404706658869836,-0.00023851930880245244,-6.958597265268403e-05
-0.000368717210400682,-0.00024052643604115614,-7.026141467128246e-05
-0.0003733838809464706,-0.00024246072550192222,-7.091539105200251e-05
-0.00041663225211271146,-0.00026907763774021453,-7.880748785113848e-05
-0.0003054442320916824,-0.00019662628153784825,-5.762666784688707e-05
-0.00042645892410283386,-0.00027281111826142363,-8.004625292227931e-05
-0.00039220039525501664,-0.0002496644559722976,-7.330069521475656e-05
-0.0003969896562865824,-0.0002513938837264642,-7.383909453660894e-05
-0.0004018315116013729,-0.00025312327315776936,-7.435578115553045e-05
-0.0004482116025533306,-0.00028064138886709183,-8.24211329927099e-05
-0.0004121912926911955,-0.0002568150421770043,-7.5381153947939e-05
-0.00037483471794178756,-0.00023252574898368944,-6.819545040602882e-05
-0.00042185338838009894,-0.00026032448847477846,-7.624497391694588e-05
-0.00042705283113980957,-0.0002622643549610147,-7.66830284803955e-05
-0.0004323324831846807,-0.00026428110060385326,-7.711338546024463e-05
-0.00048233820507658946,-0.0002933607338189116,-8.536376818887246e-05
-0.00044365887937476505,-0.00026877991634014555,-7.800616698413744e-05
-0.000449166969237656,-0.0002710647112034084,-7.843186688635664e-05
-0.0004085199140435012,-0.0002457846286858271,-7.091797114269744e-05
-0.00045982348236030566,-0.00027568301518527256,-7.925665042690934e-05
-0.0005129967497274539,-0.0003064848837804705,-8.774750512725533e-05
-0.0004718103846069606,-0.00028114325734452414,-8.020784527754617e-05
-0.00047757904045637583,-0.00028386693748960143,-8.068157099098127e-05
-0.0004833750663981336,-0.00028665920009215344,-8.117110646873968e-05
-0.0005390667714599652,-0.0003189264670534089,-8.992767626885006e-05
-0.00039508111205751765,-0.00023346368043147012,-6.567774863877764e-05
-0.0005512522678740498,-0.000325039334965419,-9.10485232896056e-05
-0.0005066770547117916,-0.000298306432994241,-8.330541794967711e-05
-0.0005125015057672964,-0.00030128279157398815,-8.388381653524481e-05
-0.0005183174478481386,-0.0003042628217676891,-8.447909879236145e-05
-0.0005774944522430978,-0.00033845071258279086,-9.369866593236403e-05
-0.00042300813830502455,-0.00024768196692770417,-6.847245351075702e-05
-0.0005895961029398468,-0.00034460102765385717,-9.502405290071025e-05
-0.0005414884656655595,-0.0003160283412262171,-8.700352161978364e-05
-0.0005472680491663479,-0.00031889252876154565,-8.766249946649487e-05
-0.000553050247262775,-0.0003217141705347264,-8.8328926113952e-05
-0.000615679157270227,-0.000357400163837756,-9.801116787952873e-05
-0.0005652221195043368,-0.0003274961938275667,-8.97427402754523e-05
-0.0005131545267403064,-0.0002967911468851341,-8.128584829489069e-05
-0.0005763073906988555,-0.0003325299711919512,-9.102615595925031e-05
-0.0005821800098219232,-0.00033510780225322513,-9.169717165598362e-05
-0.0005880835914312021,-0.00033763828532641025,-9.236191886255715e-05
-0.000654399441105352,-0.0003745502991859966,-0.00010242856355268461
-0.0006005838427325724,-0.0003428189492971296,-9.372872913976554e-05
-0.000606589628730129,-0.00034522519156638163,-9.436019510004786e-05
-0.0005505529247580509,-0.00031251520761524756,-8.539457331696759e-05
-0.0006180971492514588,-0.0003497017086571807,-9.551335097940653e-05
-0.0006876197243377406,-0.0003876066036831207,-0.00010580169419325975
-0.0006309287352410316,-0.0003545508721675158,-9.671713959832127e-05
-0.0006370740752604515,-0.00035683283328524535,-9.726256769474929e-05
-0.0006432367415413677,-0.0003591033043156731,-9.779126621853283e-05
-0.0007153720807697082,-0.00039787730033447494,-0.00010822176719855401
-0.0005234897048358846,-0.0002905394027893902,-7.896531690731228e-05
-0.0007283126975813098,-0.00040259953243568366,-0.00010925803889632348
-0.0006679922466333072,-0.00036814997698058754,-9.978933716476398e-05
-0.0006741957494826068,-0.0003704198096017746,-0.00010027821521380352
-0.0006804032598440926,-0.00037269855448682665,-0.00010077212777981835
-0.0007563016759900205,-0.00041286417214273646,-0.000111486249491005
-0.0005532722720708955,-0.00030146430840036654,-8.135303431480651e-05
-0.0007693100539259799,-0.0004176955596129986,-0.00011259670576294264
-0.0007053008989574115,-0.00038193953242192066,-0.0001028963998803026
-0.0007115558776955734,-0.0003842870881098504,-0.00010348567457288902
-0.0007178306795750277,-0.00038665073595543407,-0.00010410443381159172
-0.0007975801427654876,-0.0004283249201728873,-0.00011533429290088836
-0.0007310860170626128,-0.0003916634297050548,-0.00010549869949380612
-0.0006628451520206404,-0.0003543427355464169,-9.549540472340096e-05
-0.0007432088676728892,-0.00039626041609412303,-0.00010688153677401316
-0.0007496458566907666,-0.0003987005474959517,-0.00010764847714859284
-0.0007561254758492387,-0.0004011537108653773,-0.00010843805415819482
-0.0008399874081518368,-0.0004443863160806332,-0.00012030218003188092
-0.0007698692614776085,-0.00040634017953234053,-0.00011014709382204735
-0.0007764840664431102,-0.0004088247977882439,-0.00011097670841983799
-0.0007039328888606005,-0.0003698492964483134,-0.00010051627702650243
-0.0007891809049837448,-0.00041356581066152593,-0.00011255634160023443
-0.0008766227350177776,-0.0004580865065060006,-0.00012485305374361765
-0.000803370134631799,-0.00041882079327618474,-0.00011427219115070818
-0.0008101776954961013,-0.0004213241606157528,-0.00011506694108877617
-0.0008170114189069223,-0.00042382541010198597,-0.00011584264510918931
-0.0009073816177186439,-0.00046936711912728084,-0.00012838293860037875
-0.0006634894684301705,-0.00034265243764401,-9.374616600178249e-05
-0.0009217545865639797,-0.00047456369936694413,-0.00012988195706168114
-0.000844499674499063,-0.00043377171252817075,-0.00011872626985440872
-0.0008513846803008757,-0.0004362360595962639,-0.00011939438871355146
-0.0008582663822592944,-0.0004386895423855462,-0.00012004576360059091
-0.0009527911916448965,-0.000485649025335201,-0.00013285912897510553
-0.0006965094075280576,-0.00035446178937591916,-9.695047227070383e-05
-0.0009671356884127688,-0.0004907173637059816,-0.0001341696279265896
-0.0008857253866255156,-0.0004483986788275082,-0.00012256907965728042
-0.0008925759878663112,-0.00045080569394189546,-0.00012320438549302562
-0.0008994268213296214,-0.0004532090860853061,-0.00012385207382898154
-0.0009980424171625775,-0.0005015699601864002,-0.00013707720599135677
-0.0009138364966947882,-0.0004582588678610279,-0.00012526922740195874
-0.000827722211435889,-0.0004142799737257526,-0.00011328817416794788
-0.000926948371028925,-0.0004628574643529487,-0.00012664992645710062
-0.0009338957169976046,-0.00046529983641443084,-0.0001274183775813995
-0.0009408851675840311,-0.00046776335167921765,-0.00012821664699279935
-0.0010438742701847897,-0.000517686450472519,-0.00014208277627796771
-0.0009557211919107969,-0.0004730188867342541,-0.00012998086846145794
-0.0009628787926483588,-0.00047557074397955914,-0.00013086155715113132
-0.0008721219678088644,-0.0004299956509011524,-0.00011846761883961272
-0.0009766786259692278,-0.00048052710281442827,-0.0001325962483176119
-0.0010836592745147285,-0.0005319470721327169,-0.00014703720449240872
-0.0009922168055051834,-0.0004861588171364455,-0.00013456800583208845
