time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1739555411945134600,0.031134521484375,2.3553347984444577,-0.0053131658459256315,0.9197278255089121,0.0963815333818702,0.37611802220080925,0.11228446944956856,0.2039566509996476
1739555411955203800,0.041203857421875,2.355503455865991,-0.005430098751696283,0.9197590559265612,0.09661306836686148,0.3760275857270336,0.11232523398187083,0.2039515671165361
1739555411965273600,0.051273681640625,2.355511148061461,-0.005720374436303887,0.9197631438050521,0.09719676453790675,0.3759960151275326,0.11238398662785867,0.203840315802974
1739555411975343600,0.061343505859375,2.355346727124211,-0.0062227951280851524,0.9197352168506471,0.09824112276314785,0.3760196965415215,0.11250618781969997,0.2036773416480442
1739555411985414000,0.071413818359375,2.355099207609519,-0.006839839364534861,0.9196958233006061,0.0994877987715592,0.3760759875807284,0.11260429731939792,0.2033779482018343
1739555411995483600,0.081483642578125,2.354870600459561,-0.007450074243964456,0.9196656303597271,0.10065204358785311,0.3761348611292796,0.11261560197668073,0.20292271338220816
1739555412005553700,0.0915537109375,2.3547392370100124,-0.008039787902115424,0.9196580412653121,0.10171037482906739,0.37616011479127365,0.11255283197776139,0.2023497982364842
1739555412015622700,0.10162255859375,2.354724703789975,-0.00851865832028635,0.9196763360286323,0.10247727545816748,0.37615179010885946,0.11239549174543875,0.20169099221552536
1739555412025692700,0.111692626953125,2.354742679985229,-0.008768591224081032,0.9197051280854789,0.10271529008649966,0.376161103626733,0.11210901906695385,0.20096772604791782
1739555412035762700,0.1217626953125,2.3547672627855647,-0.008933374634070733,0.9197339880511035,0.1027881085088729,0.37617459782552837,0.11181408790404648,0.20029395405902756
1739555412045832700,0.131832763671875,2.3548273157872175,-0.00910830525394559,0.9197677782530627,0.10289464789647847,0.3761680966788126,0.11154278167449791,0.19965827429477193
1739555412055902700,0.14190283203125,2.3549284873163865,-0.009227040465662046,0.919810973684688,0.10286170429538008,0.37615180849267643,0.11123150445469648,0.1989930792944075
1739555412065971700,0.1519716796875,2.3550579470167627,-0.00932703378031329,0.9198569372676704,0.10281420740225523,0.37612027069346665,0.11094960489102917,0.19839835157230026
1739555412076041700,0.162041748046875,2.355181525085131,-0.009429835576704296,0.9198943220313692,0.10285552168779105,0.37607818343690325,0.1107739365421418,0.19799910045795038
1739555412086111700,0.17211181640625,2.355261777809195,-0.009517352556000938,0.9199167097432697,0.10294493257841711,0.3760454792354932,0.11069070612700826,0.19778147917077674
1739555412096181500,0.182181396484375,2.3553922359751023,-0.00966103121164909,0.9199477124450978,0.10315410561435667,0.37598282163823277,0.11063373384363817,0.19757260303279753
1739555412106251800,0.192251708984375,2.355692801288994,-0.009892858271831858,0.9200146299819142,0.10348066495593865,0.37584088205588334,0.1105391174294303,0.19723524327453573
1739555412116321800,0.20232177734375,2.356208133924805,-0.01015726680608642,0.9201295962829862,0.10376317072841634,0.37561171475628286,0.11033745760954497,0.19668481586558678
1739555412126390800,0.212390869140625,2.3568720351980423,-0.01040676570751643,0.9202775918580258,0.10393836400250314,0.3753258161750136,0.1100519365952323,0.1959972688355568
1739555412136460800,0.222460693359375,2.3575573984341363,-0.010644813840567351,0.920432239888943,0.10405674551942116,0.37503622153464433,0.10972279055295374,0.19523839491266778
1739555412146530600,0.232530517578125,2.35818865650724,-0.010850532310426172,0.9205781851002243,0.10409663454847162,0.37477726378557585,0.1093624132125677,0.19444318014085063
1739555412156600800,0.242600830078125,2.358763612111837,-0.011024814521672546,0.9207159816754868,0.10404940478660037,0.37455146869144346,0.1089573291959371,0.19358564065622513
1739555412166670800,0.2526708984375,2.359265061968941,-0.011142070573635589,0.9208440789874147,0.10384646635690559,0.37437199126980836,0.10847823735137557,0.19262960963398462
1739555412176740600,0.26274072265625,2.3596135098640922,-0.011273104777876112,0.9209452876030383,0.10366715517934559,0.37426404553769577,0.10797702989624978,0.19161403562113719
1739555412186809900,0.272809814453125,2.359851111248825,-0.011488369585495003,0.9210257890184996,0.10366884483518804,0.37419880670272626,0.10749343060038662,0.19056182033136834
1739555412196879600,0.282879638671875,2.360166641216733,-0.011770759215290097,0.9211145725058465,0.1038669958964462,0.37408099272421663,0.10711168329395408,0.18965269656639555
1739555412206949600,0.29294970703125,2.3605735871059705,-0.012030520314500588,0.9212108303779809,0.10411677973518742,0.3739070182841606,0.1068615515211735,0.18901084186705777
1739555412217020000,0.30302001953125,2.3610453577033663,-0.012250395715435493,0.9213103195649431,0.10438045188291796,0.37369171677639335,0.106732469020958,0.18862830504574754
1739555412227089700,0.313089599609375,2.3616005775996607,-0.012444308435731619,0.921419601054368,0.10464762450008162,0.3734307029356466,0.10668012679745954,0.1884129276927273
1739555412237158700,0.32315869140625,2.3622888469242502,-0.012582458363168203,0.9215545204783157,0.1047774810882568,0.3731157582467385,0.10660017131685173,0.18819524624265385
1739555412247228700,0.333228759765625,2.363040080421906,-0.012692560166713454,0.9217081854111602,0.10476269899334355,0.37278725935696927,0.10640788050501698,0.18779261933978178
1739555412257298700,0.343298583984375,2.3637743564823723,-0.012857388301640255,0.9218685919168571,0.10474378697469416,0.37247928640412137,0.10607608463170308,0.18708769259930358
1739555412267368700,0.35336865234375,2.3645133821859816,-0.013066271806031048,0.9220428562243029,0.10466162456648481,0.37218846201975225,0.10555596355214143,0.1859986114431116
1739555412277438700,0.363438720703125,2.3652744909029706,-0.013230645281537086,0.9222310802839989,0.10436992732052251,0.37190935984319434,0.10487273578892754,0.1846399253697276
