time,seconds_elapsed,z,y,x
1739555411945134600,0.031134521484375,-30.7056884765625,-21.533851623535156,-16.30941390991211
1739555411955203800,0.041203857421875,-30.779754638671875,-21.215591430664062,-16.417200088500977
1739555411965273600,0.051273681640625,-31.0247802734375,-21.878822326660156,-16.583486557006836
1739555411975343600,0.061343505859375,-30.956878662109375,-22.408599853515625,-16.82823944091797
1739555411985414000,0.071413818359375,-31.13824462890625,-22.433631896972656,-16.89885902404785
1739555411995483600,0.081483642578125,-31.574249267578125,-22.590194702148438,-16.89999771118164
1739555412005553700,0.0915537109375,-31.115325927734375,-22.67682647705078,-16.594552993774414
1739555412015622700,0.10162255859375,-31.342864990234375,-22.546127319335938,-16.630828857421875
1739555412025692700,0.111692626953125,-31.105133056640625,-22.489295959472656,-16.655912399291992
1739555412035762700,0.1217626953125,-31.5311279296875,-22.238243103027344,-16.72977066040039
1739555412045832700,0.131832763671875,-31.45947265625,-22.31183624267578,-16.698699951171875
1739555412055902700,0.14190283203125,-31.64569091796875,-22.06200408935547,-16.29483985900879
1739555412065971700,0.1519716796875,-31.527069091796875,-22.44940948486328,-16.558475494384766
1739555412076041700,0.162041748046875,-31.180084228515625,-22.25617218017578,-16.682531356811523
1739555412086111700,0.17211181640625,-31.05828857421875,-22.370704650878906,-16.703834533691406
1739555412096181500,0.182181396484375,-31.170135498046875,-22.38568878173828,-16.731618881225586
1739555412106251800,0.192251708984375,-31.149688720703125,-22.5072021484375,-16.713024139404297
1739555412116321800,0.20232177734375,-31.129241943359375,-22.24134063720703,-16.799175262451172
1739555412126390800,0.212390869140625,-31.1796875,-22.20063018798828,-16.76700782775879
1739555412136460800,0.222460693359375,-31.317474365234375,-22.255027770996094,-16.744905471801758
1739555412146530600,0.232530517578125,-31.400604248046875,-22.23162078857422,-16.946794509887695
1739555412156600800,0.242600830078125,-31.294525146484375,-21.97834014892578,-16.713735580444336
1739555412166670800,0.2526708984375,-31.19683837890625,-22.03577423095703,-16.779050827026367
1739555412176740600,0.26274072265625,-31.17877197265625,-21.959190368652344,-16.624895095825195
1739555412186809900,0.272809814453125,-31.397796630859375,-21.81682586669922,-16.758874893188477
1739555412196879600,0.282879638671875,-31.606658935546875,-21.711097717285156,-16.61145782470703
1739555412206949600,0.29294970703125,-31.757415771484375,-21.755104064941406,-16.8560791015625
1739555412217020000,0.30302001953125,-31.94622802734375,-21.692855834960938,-16.668561935424805
1739555412227089700,0.313089599609375,-31.694976806640625,-21.65338134765625,-16.632604598999023
1739555412237158700,0.32315869140625,-31.532867431640625,-21.472015380859375,-16.710615158081055
1739555412247228700,0.333228759765625,-31.803955078125,-21.434036254882812,-16.92035484313965
1739555412257298700,0.343298583984375,-31.66119384765625,-21.373451232910156,-16.82444190979004
1739555412267368700,0.35336865234375,-32.252716064453125,-21.49712371826172,-16.859844207763672
1739555412277438700,0.363438720703125,-32.21136474609375,-21.36901092529297,-16.81324577331543
1739555412287508700,0.3735087890625,-31.826324462890625,-21.36492156982422,-16.811935424804688
1739555412297577700,0.38357763671875,-31.5419921875,-21.522567749023438,-17.012428283691406
1739555412307648000,0.39364794921875,-31.54046630859375,-21.355926513671875,-16.782608032226562
1739555412317717800,0.4037177734375,-31.266387939453125,-21.077903747558594,-16.672605514526367
1739555412327787800,0.413787841796875,-31.217193603515625,-21.227493286132812,-16.618757247924805
1739555412337857800,0.42385791015625,-31.454498291015625,-21.482215881347656,-16.708574295043945
1739555412347926800,0.4339267578125,-31.524017333984375,-21.397056579589844,-16.973709106445312
