time,seconds_elapsed,relativeAltitude,pressure
1737920220420136200,-0.50486376953125,0,1017.2727966308594
1737920221424836000,0.499836181640625,0.031707763671875,1017.2693634033203
1737920222426771200,1.501771240234375,0.05812835693359375,1017.2659301757812
1737920223429171200,2.504171142578125,0.06341552734375,1017.2657012939453
1737920224431364400,3.5063642578125,0.095123291015625,1017.2620391845703
1737920225434237200,4.5092373046875,0.10569000244140625,1017.2602844238281
1737920225986589200,5.061589111328125,0.1426849365234375,1017.2560882568359
1737920226993401300,6.0684013671875,0.158538818359375,1017.2539520263672
1737920227998698200,7.0736982421875,0.20081329345703125,1017.2488403320312
1737920229000616200,8.0756162109375,0.22723770141601562,1017.2458648681641
